Country Name,CEPALStat ID,ISO,Indicator ID,Indicator Name
Anguilla,213,AI,36,"Growth rate of the population, national and by urban and rural areas"
Anguilla,213,AI,97,"Proportion of population using an improved drinking water source, total, urban and rural areas"
Anguilla,213,AI,98,"Proportion of population using an improved sanitation facility, total, urban and rural areas"
Anguilla,213,AI,174,Prevalence rate associated with tuberculosis
Anguilla,213,AI,176,Proportion of tuberculosis cases detected and cured under directly-observed treatment short courses (DOTS)
Anguilla,213,AI,179,Share of women in wage employment in the non-agricultural sector
Anguilla,213,AI,185,"Ratio of girls to boys in primary, secondary and tertiary education"
Anguilla,213,AI,224,Urban population living in slums
Anguilla,213,AI,307,"Contraceptive prevalence rate among married women aged 15-49, any method"
Anguilla,213,AI,364,Total fixed telephone lines subscribers
Anguilla,213,AI,391,"Average number of pupils per teacher, by level of education"
Anguilla,213,AI,460,Public expenditure on education
Anguilla,213,AI,531,Internet users
Anguilla,213,AI,1010,Prison population rate
Anguilla,213,AI,1381,Fleets of National Flag (thousands of GT)
Anguilla,213,AI,1382,Fleets of National Flag (thousands of DWT)
Anguilla,213,AI,1481,Evolution of national flag fleet by vessel type (thousands of DWT)
Anguilla,213,AI,1499,Total Cellular subscribers
Anguilla,213,AI,1693,Incidence rate associated with Tuberculosis
Anguilla,213,AI,1702,Adolescent birth rate
Anguilla,213,AI,1704,Judicial power: percentage of women judges in the highest court or supreme court
Anguilla,213,AI,2242,Países que han firmado y ratificado el Protocolo Facultativo de la Convención sobre la eliminación de todas las formas de discriminación
Anguilla,213,AI,2243,Nivel jerárquico de los Mecanismos para el Adelanto de la Mujer (MAM)
Antigua and Barbuda,214,AG,36,"Growth rate of the population, national and by urban and rural areas"
Antigua and Barbuda,214,AG,43,Average number of inhabitants per physician
Antigua and Barbuda,214,AG,54,Hospital beds per inhabitant
Antigua and Barbuda,214,AG,55,Total expenditure on health as a percentage of gross domestic product
Antigua and Barbuda,214,AG,97,"Proportion of population using an improved drinking water source, total, urban and rural areas"
Antigua and Barbuda,214,AG,98,"Proportion of population using an improved sanitation facility, total, urban and rural areas"
Antigua and Barbuda,214,AG,154,"Occupied dwelling units, by type of facilities available, by urban and rural areas (CELADE)"
Antigua and Barbuda,214,AG,164,Proportion of population below minimum level of dietary energy consumption
Antigua and Barbuda,214,AG,167,Proportion of 1-year-old children immunized against measles
Antigua and Barbuda,214,AG,174,Prevalence rate associated with tuberculosis
Antigua and Barbuda,214,AG,176,Proportion of tuberculosis cases detected and cured under directly-observed treatment short courses (DOTS)
Antigua and Barbuda,214,AG,177,Proportion of births attended by skilled health personnel
Antigua and Barbuda,214,AG,178,Proportion of seats held by women in national parliament
Antigua and Barbuda,214,AG,179,Share of women in wage employment in the non-agricultural sector
Antigua and Barbuda,214,AG,185,"Ratio of girls to boys in primary, secondary and tertiary education"
Antigua and Barbuda,214,AG,187,Infant mortality rate (IGME)
Antigua and Barbuda,214,AG,188,Under-five mortality rate (IGME)
Antigua and Barbuda,214,AG,224,Urban population living in slums
Antigua and Barbuda,214,AG,295,Population in the main metropolitan area
Antigua and Barbuda,214,AG,357,Death rate associated with tuberculosis
Antigua and Barbuda,214,AG,364,Total fixed telephone lines subscribers
Antigua and Barbuda,214,AG,365,Consumer price index
Antigua and Barbuda,214,AG,391,"Average number of pupils per teacher, by level of education"
Antigua and Barbuda,214,AG,460,Public expenditure on education
Antigua and Barbuda,214,AG,465,"Occupied dwelling units, by type of tenancy, by urban and rural areas (CELADE)"
Antigua and Barbuda,214,AG,467,Physicians
Antigua and Barbuda,214,AG,468,Hospital beds
Antigua and Barbuda,214,AG,531,Internet users
Antigua and Barbuda,214,AG,534,Daily dietary energy consumption in kilocalories per person
Antigua and Barbuda,214,AG,578,Monthly exports and imports
Antigua and Barbuda,214,AG,740,Current account balance as a percentage of GDP
Antigua and Barbuda,214,AG,746,Total external debt as percentage of GDP
Antigua and Barbuda,214,AG,856,Nominal lending rate
Antigua and Barbuda,214,AG,857,Nominal deposit rate
Antigua and Barbuda,214,AG,861,Total external debt
Antigua and Barbuda,214,AG,862,"Money (M1), end of period"
Antigua and Barbuda,214,AG,868,"Liquidity (M2), end of period"
Antigua and Barbuda,214,AG,869,"Broad liquidity (M3), end of period"
Antigua and Barbuda,214,AG,870,"Currency, end of period"
Antigua and Barbuda,214,AG,871,"Demand deposits, end of period"
Antigua and Barbuda,214,AG,872,"Savings deposits, end of period"
Antigua and Barbuda,214,AG,873,"Time deposits, end period"
Antigua and Barbuda,214,AG,874,"Foreign currency deposits, end of period"
Antigua and Barbuda,214,AG,1010,Prison population rate
Antigua and Barbuda,214,AG,1043,Total national port moves (TON)
Antigua and Barbuda,214,AG,1206,Monetary policy rate
Antigua and Barbuda,214,AG,1343,"Degree of Opennes of the Economy, at current prices"
Antigua and Barbuda,214,AG,1344,"Externa Debt, at currente prices"
Antigua and Barbuda,214,AG,1347,Executive power: percentage of women in ministerial cabinet positions
Antigua and Barbuda,214,AG,1381,Fleets of National Flag (thousands of GT)
Antigua and Barbuda,214,AG,1382,Fleets of National Flag (thousands of DWT)
Antigua and Barbuda,214,AG,1481,Evolution of national flag fleet by vessel type (thousands of DWT)
Antigua and Barbuda,214,AG,1499,Total Cellular subscribers
Antigua and Barbuda,214,AG,1615,Implicit GDP deflactor at market prices
Antigua and Barbuda,214,AG,1629,Net capital inflow and resource transfers
Antigua and Barbuda,214,AG,1693,Incidence rate associated with Tuberculosis
Antigua and Barbuda,214,AG,1702,Adolescent birth rate
Antigua and Barbuda,214,AG,1703,Antenatal care coverage (at least one visit and at least four visits)
Antigua and Barbuda,214,AG,1704,Judicial power: percentage of women judges in the highest court or supreme court
Antigua and Barbuda,214,AG,1708,Local power: percentage of elected city council members who are female
Antigua and Barbuda,214,AG,1739,Irrigated area
Antigua and Barbuda,214,AG,1740,Area harvested
Antigua and Barbuda,214,AG,1757,Length of the road network
Antigua and Barbuda,214,AG,1759,Air traffic
Antigua and Barbuda,214,AG,1819,Value of exports of goods and services
Antigua and Barbuda,214,AG,1820,Value of imports of goods and service
Antigua and Barbuda,214,AG,1821,Balance on services
Antigua and Barbuda,214,AG,1822,Ratio of net income to exports of goods and services
Antigua and Barbuda,214,AG,1823,Net resource transfers
Antigua and Barbuda,214,AG,1837,Occurrence and impacts of natural disasters
Antigua and Barbuda,214,AG,1869,Agricultural area
Antigua and Barbuda,214,AG,2012,Proportion of terrestrial and marine protected areas
Antigua and Barbuda,214,AG,2013,Proportion of terrestrial protected areas
Antigua and Barbuda,214,AG,2014,Proportion of marine protected areas
Antigua and Barbuda,214,AG,2016,Surface area of Ramsar designated wetlands
Antigua and Barbuda,214,AG,2017,Proportion of total water resources used
Antigua and Barbuda,214,AG,2018,Total marine territorial area
Antigua and Barbuda,214,AG,2019,Fish capture production
Antigua and Barbuda,214,AG,2021,Proportion of land area covered by forest
Antigua and Barbuda,214,AG,2022,Fertilizer use intensity
Antigua and Barbuda,214,AG,2027,"Carbon dioxide (CO2) emissions (Total, per capita and per gross domestic product)"
Antigua and Barbuda,214,AG,2030,ISO 14001-certified enterprises by economic activities
Antigua and Barbuda,214,AG,2031,Multilateral environmental agreements
Antigua and Barbuda,214,AG,2035,Country area
Antigua and Barbuda,214,AG,2036,Forest area
Antigua and Barbuda,214,AG,2037,Consumption of all ozone-depleting substances (ODS)
Antigua and Barbuda,214,AG,2038,Fertilizer consumption
Antigua and Barbuda,214,AG,2039,Pesticide consumption
Antigua and Barbuda,214,AG,2061,ODA received in small island developing States (SIDS) as a proportion of their gross national incomes
Antigua and Barbuda,214,AG,2165,Inbound tourism consumption as a percentage of GDP
Antigua and Barbuda,214,AG,2166,Outbound tourism consumption as a percentage of GDP
Antigua and Barbuda,214,AG,2167,Tourism balance as a percentage of GDP
Antigua and Barbuda,214,AG,2168,International tourism as a percentage of GDP
Antigua and Barbuda,214,AG,2169,Tourism coverage
Antigua and Barbuda,214,AG,2170,Inbound tourism consumption as a percentage of the exports of goods
Antigua and Barbuda,214,AG,2171,Inbound tourism consumption as a percentage of exports of services
Antigua and Barbuda,214,AG,2172,Inbound tourism consumption as a percentage of exports of goods and services
Antigua and Barbuda,214,AG,2173,Inbound tourism consumption as a percentage of total current account credits
Antigua and Barbuda,214,AG,2174,Outbound tourism consumption as a percentage of the imports of goods
Antigua and Barbuda,214,AG,2175,Outbound tourism consumption as a percentage of the imports of services
Antigua and Barbuda,214,AG,2176,Outbound tourism consumption as a percentage of the imports of goods and services
Antigua and Barbuda,214,AG,2177,Outbound tourism consumption as a percentage of total current account debits
Antigua and Barbuda,214,AG,2178,Inbound tourism consumption as a percentage of remittances
Antigua and Barbuda,214,AG,2179,Nominal exchange rate
Antigua and Barbuda,214,AG,2181,Trade in Services
Antigua and Barbuda,214,AG,2203,Total Annual Gross Domestic Product (GDP) at current prices in dolllars
Antigua and Barbuda,214,AG,2204,Total Annual Gross Domestic Product (GDP) at constant prices in dollars
Antigua and Barbuda,214,AG,2205,Total Annual Gross Domestic Product (GDP) per capita at current prices in dollars
Antigua and Barbuda,214,AG,2206,Total Annual Gross Domestic Product (GDP) per capita at constant prices in dollars
Antigua and Barbuda,214,AG,2207,Rate of growth of Total Annual Gross Domestic Product (GDP) at constant prices
Antigua and Barbuda,214,AG,2208,Annual Gross Domestic Product (GDP) by expenditure at current prices in dollars
Antigua and Barbuda,214,AG,2211,Share in Annual Gross Domestic Product (GDP) by expenditure at current prices
Antigua and Barbuda,214,AG,2213,Annual Gross Domestic Product (GDP) per capita by expenditure at current prices in dollars
Antigua and Barbuda,214,AG,2215,Annual Gross Domestic Product (GDP) by activity at current prices
Antigua and Barbuda,214,AG,2216,Annual Gross Domestic Product (GDP) by activity at constant prices
Antigua and Barbuda,214,AG,2217,Rate of growth of Annual Gross Domestic Product (GDP) by activity at constant prices
Antigua and Barbuda,214,AG,2218,Share in Annual Gross Domestic Product (GDP) by activity at current prices
Antigua and Barbuda,214,AG,2219,Share in Annual Gross Domestic Product (GDP) by activity  at current prices
Antigua and Barbuda,214,AG,2220,Annual Gross Domestic Product (GDP) per capita by activity at current prices in dollars
Antigua and Barbuda,214,AG,2221,Annual Gross Domestic Product (GDP) per capita by activity at constant prices in dollars
Antigua and Barbuda,214,AG,2222,Rate of growth of Total Annual Gross Domestic Product (GDP) per capita at constant prices
Antigua and Barbuda,214,AG,2242,Países que han firmado y ratificado el Protocolo Facultativo de la Convención sobre la eliminación de todas las formas de discriminación
Antigua and Barbuda,214,AG,2243,Nivel jerárquico de los Mecanismos para el Adelanto de la Mujer (MAM)
Antigua and Barbuda,214,AG,2260,Terrestrial and marine protected areas
Antigua and Barbuda,214,AG,2261,Terrestrial protected areas
Antigua and Barbuda,214,AG,2262,Protected marine areas
Aruba,217,AW,5,Crude mortality rate
Aruba,217,AW,36,"Growth rate of the population, national and by urban and rural areas"
Aruba,217,AW,37,Total fertility rate
Aruba,217,AW,39,Crude birth rate
Aruba,217,AW,43,Average number of inhabitants per physician
Aruba,217,AW,49,Migration rate
Aruba,217,AW,54,Hospital beds per inhabitant
Aruba,217,AW,97,"Proportion of population using an improved drinking water source, total, urban and rural areas"
Aruba,217,AW,98,"Proportion of population using an improved sanitation facility, total, urban and rural areas"
Aruba,217,AW,174,Prevalence rate associated with tuberculosis
Aruba,217,AW,176,Proportion of tuberculosis cases detected and cured under directly-observed treatment short courses (DOTS)
Aruba,217,AW,179,Share of women in wage employment in the non-agricultural sector
Aruba,217,AW,185,"Ratio of girls to boys in primary, secondary and tertiary education"
Aruba,217,AW,357,Death rate associated with tuberculosis
Aruba,217,AW,364,Total fixed telephone lines subscribers
Aruba,217,AW,365,Consumer price index
Aruba,217,AW,391,"Average number of pupils per teacher, by level of education"
Aruba,217,AW,460,Public expenditure on education
Aruba,217,AW,467,Physicians
Aruba,217,AW,468,Hospital beds
Aruba,217,AW,531,Internet users
Aruba,217,AW,1010,Prison population rate
Aruba,217,AW,1044,"Port moves, National total (TEU)"
Aruba,217,AW,1381,Fleets of National Flag (thousands of GT)
Aruba,217,AW,1382,Fleets of National Flag (thousands of DWT)
Aruba,217,AW,1481,Evolution of national flag fleet by vessel type (thousands of DWT)
Aruba,217,AW,1499,Total Cellular subscribers
Aruba,217,AW,1702,Adolescent birth rate
Aruba,217,AW,2242,Países que han firmado y ratificado el Protocolo Facultativo de la Convención sobre la eliminación de todas las formas de discriminación
