ID,Key,Value
5000000,indicator-id,2179
5000001,indicator,Nominal exchange rate
5000002,theme,Economic Indicators and Statistics
5000003,area,Exchange indicators
5000004,indicator-note,(Translation in progress ...)
5000005,unit,National currency by USA dolar
5000006,definition,(Translation in progress ...)
5000007,data-charactaristics,(Translation in progress ...)
5000008,methodology,(Translation in progress ...)
5000009,commentary,(Translation in progress ...)
6244,note,Barbados Dollars.
6245,note,Belize Dollars.
6703,note,Dólares de Guyana TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 4/11/2013[dd/mm/aaaa]
6704,note,Dólares de Jamaica TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 4/11/2013[dd/mm/aaaa]
6250,note,Bahamas Dollars.
6248,note,Suriname Dollars.
6249,note,Trinidad and Tabago Dollars.
6251,note,Eastern Caribbean Dollars.
6252,note,Gourdes TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 15/9/2011[dd/mm/aaaa]
6258,note,Pesos cubanos TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 15/9/2011[dd/mm/aaaa]
6259,note,Pesos dominicanos TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 15/9/2011[dd/mm/aaaa]
1277,source, International Monetary Fund :  International Financial Statistics CD-ROM 
