Year,Value,Source,Notes,ISO3,Country,Item
1990,2791.19576054268,733,"6432,6495",DOM,Dominican Republic,"Wholesale and retail trade, repair of goods, and hotels and restaurants"
1990,27.9979081473135,733,"6432,6495",GRD,Grenada,Construction
1990,53.936258621138,733,"6432,6495",BLZ,Belize,Manufacturing
1990,50.5414613011615,733,"6432,6495",ATG,Antigua and Barbuda,Construction
1990,2904.40149124462,733,"6432,6495",BRB,Barbados,Total value added
1990,632.301555175891,733,"6432,6495",TTO,Trinidad and Tobago,"Financial intermediation, real estate, renting and business activities"
1990,328.378494454543,733,"6432,6495",TTO,Trinidad and Tobago,"Transport, storage and communications"
1990,33.4189398118773,733,"6432,6495",GRD,Grenada,"Wholesale and retail trade, and repair of goods"
1990,1546.51701468269,733,"6432,6495",TTO,Trinidad and Tobago,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities"
1990,3320.08700504658,733,"6432,6495",BRB,Barbados,Gross domestic product (GDP)
1990,3.6646037342972,733,"6432,6495",GRD,Grenada,Financial intermediation services indirectly measured (FISIM)
1990,97.0494590577907,733,"6495,6432",ATG,Antigua and Barbuda,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities"
1990,5581.03795937154,733,"6432,6495",BHS,Bahamas,Gross domestic product (GDP)
1990,958.742013321679,733,"6432,6495",TTO,Trinidad and Tobago,"Wholesale and retail trade, repair of goods, and hotels and restaurants"
1990,58.9017456520993,733,"6432,6495",KNA,Saint Kitts and Nevis,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities"
1990,11.0605630198989,733,"6432,6495",GRD,Grenada,Manufacturing
1990,2.71874332305697,733,"6432,6495",BLZ,Belize,Mining and quarrying
1990,265.608414315278,733,"6432,6495",TTO,Trinidad and Tobago,Financial intermediation services indirectly measured (FISIM)
1990,426.140338609848,733,"6432,6495",TTO,Trinidad and Tobago,Construction
1990,477.04888969858,733,"6432,6495",BLZ,Belize,Total value added
1990,14.953208190105,733,"6432,6495",ATG,Antigua and Barbuda,Manufacturing
1990,234.74517734436,733,"6432,6495",DMA,Dominica,Total value added
1990,247.481952912963,733,"6432,6495",TTO,Trinidad and Tobago,Taxes on products less subsidies on products
1990,4.47319405610715,733,"6432,6495",ATG,Antigua and Barbuda,Mining and quarrying
1990,2908.86304070833,733,"6432,6495",CUB,Cuba,"Transport, storage and communications"
1990,5.184757711276,733,"6432,6495",GRD,Grenada,Fishing
1990,57.7808450382571,733,"6432,6495",KNA,Saint Kitts and Nevis,"Financial intermediation, real estate, renting and business activities"
1990,314.112653810276,733,"6432,6495",GRD,Grenada,Total value added
1990,452.230892574522,733,"6432,6495",BHS,Bahamas,Taxes on products less subsidies on products
1990,57.397936600896,733,"6432,6495",TTO,Trinidad and Tobago,"Electricity, gas and water supply"
1990,56.905912596401,733,"6432,6495",BRB,Barbados,"Electricity, gas and water supply"
1990,881.127960906016,733,"6432,6495",DOM,Dominican Republic,Taxes on products less subsidies on products
1990,7080.58093499143,733,"6432,6495",TTO,Trinidad and Tobago,Gross domestic product (GDP)
1990,3.44291776781626,733,"6432,6495",KNA,Saint Kitts and Nevis,Financial intermediation services indirectly measured (FISIM)
1990,421.670146995682,733,"6432,6495",TTO,Trinidad and Tobago,Manufacturing
1990,5046.83512294323,733,"6432,6495",BHS,Bahamas,Total value added
1990,40.2649179054935,733,"6432,6495",VCT,Saint Vincent and the Grenadines,"Agriculture, hunting, forestry and fishing"
1990,6.2940671460089,733,"6432,6495",ATG,Antigua and Barbuda,"Agriculture, hunting and forestry"
1990,4560.5163541728,733,"6432,6495",CUB,Cuba,Construction
1990,8054.32636449381,733,"6432,6495",JAM,Jamaica,Total value added
1990,190.166252637702,733,"6432,6495",GUY,Guyana,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities"
1990,41.2830736611585,733,"6432,6495",VCT,Saint Vincent and the Grenadines,"Agriculture, hunting and forestry"
1990,2563.40174351619,733,"6432,6495",TTO,Trinidad and Tobago,Mining and quarrying
1990,797.234404080874,733,"6432,6495",GUY,Guyana,Gross domestic product (GDP)
1990,227.473587333354,733,"6432,6495",BHS,Bahamas,Manufacturing
1990,4.851,733,"6432,6495",BRB,Barbados,Mining and quarrying
1990,663.229016869261,733,"6432,6495",DOM,Dominican Republic,"Transport, storage and communications"
1990,1.43571163584522,733,"6495,6432",VCT,Saint Vincent and the Grenadines,Fishing
1990,17.6721403941071,733,"6432,6495",KNA,Saint Kitts and Nevis,"Transport, storage and communications"
1990,1099.4869109217,733,"6432,6495",BHS,Bahamas,"Financial intermediation, real estate, renting and business activities"
1990,0.558955519085545,733,"6495,6432",VCT,Saint Vincent and the Grenadines,Mining and quarrying
