Year,Item,Country,Value,Source,Notes,ISO3
1990,"Agriculture, hunting, forestry and fishing",Belize,51.6958345667758,733,"6432,6495",BLZ
1990,Construction,Belize,29.3474076752378,733,"6432,6495",BLZ
1990,"Electricity, gas and water supply",Belize,16.4655885311032,733,"6432,6495",BLZ
1990,Financial intermediation services indirectly measured (FISIM),Belize,10.9732182276747,733,"6432,6495",BLZ
1990,"Financial intermediation, real estate, renting and business activities",Belize,64.500980060153,733,"6432,6495",BLZ
1990,Gross domestic product (GDP),Belize,542.934392093088,733,"6432,6495",BLZ
1990,Manufacturing,Belize,53.936258621138,733,"6432,6495",BLZ
1990,Mining and quarrying,Belize,2.71874332305697,733,"6432,6495",BLZ
1990,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Belize,121.259836316482,733,"6432,6495",BLZ
1990,Statistical discrepancy of GDP by economic activity,Belize,-14.7909,733,"6432,6495",BLZ
1990,Taxes on products less subsidies on products,Belize,80.676436746915,733,"6432,6495",BLZ
1990,Total value added,Belize,477.04888969858,733,"6432,6495",BLZ
1990,"Transport, storage and communications",Belize,36.9301989430748,733,"6432,6495",BLZ
1990,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Belize,111.167259889233,733,"6432,6495",BLZ
1991,"Agriculture, hunting, forestry and fishing",Belize,54.096400678549,733,"6495,6432",BLZ
1991,Construction,Belize,31.6101581383991,733,"6432,6495",BLZ
1991,"Electricity, gas and water supply",Belize,18.0271107015342,733,"6432,6495",BLZ
1991,Financial intermediation services indirectly measured (FISIM),Belize,10.7812855407656,733,"6432,6495",BLZ
1991,"Financial intermediation, real estate, renting and business activities",Belize,65.2964608523849,733,"6432,6495",BLZ
1991,Gross domestic product (GDP),Belize,556.941494556938,733,"6432,6495",BLZ
1991,Manufacturing,Belize,53.8479832387793,733,"6432,6495",BLZ
1991,Mining and quarrying,Belize,3.83081469761721,733,"6432,6495",BLZ
1991,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Belize,124.598478248703,733,"6432,6495",BLZ
1991,Statistical discrepancy of GDP by economic activity,Belize,-13.1149,733,"6432,6495",BLZ
1991,Taxes on products less subsidies on products,Belize,80.099859140406,733,"6432,6495",BLZ
1991,Total value added,Belize,489.956555003989,733,"6432,6495",BLZ
1991,"Transport, storage and communications",Belize,40.1572438444532,733,"6432,6495",BLZ
1991,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Belize,109.273190144335,733,"6432,6495",BLZ
1992,"Agriculture, hunting and forestry",Belize,61.1016355140187,733,"6432,6495",BLZ
1992,"Agriculture, hunting, forestry and fishing",Belize,62.2293518034501,733,"6432,6495",BLZ
1992,Construction,Belize,35.4347222222222,733,"6432,6495",BLZ
1992,"Electricity, gas and water supply",Belize,19.575,733,"6432,6495",BLZ
1992,Financial intermediation services indirectly measured (FISIM),Belize,11.6940320962889,733,"6432,6495",BLZ
1992,"Financial intermediation, real estate, renting and business activities",Belize,69.1132052076875,733,"6432,6495",BLZ
1992,Fishing,Belize,7.18726222826087,733,"6432,6495",BLZ
1992,Gross domestic product (GDP),Belize,602.544163373904,733,"6432,6495",BLZ
