Year,Item,Country,Value,Source,Notes,ISO3
1990,"Agriculture, hunting and forestry",Grenada,37.9475206460169,733,"6432,6495",GRD
1990,"Agriculture, hunting, forestry and fishing",Grenada,42.3045163734358,733,"6432,6495",GRD
1990,Construction,Grenada,27.9979081473135,733,"6432,6495",GRD
1990,"Electricity, gas and water supply",Grenada,9.14495835858902,733,"6432,6495",GRD
1990,Financial intermediation services indirectly measured (FISIM),Grenada,3.6646037342972,733,"6432,6495",GRD
1990,"Financial intermediation, real estate, renting and business activities",Grenada,63.1604535398017,733,"6495,6432",GRD
1990,Fishing,Grenada,5.184757711276,733,"6432,6495",GRD
1990,Gross domestic product (GDP),Grenada,370.430304538336,733,"6432,6495",GRD
1990,Hotels and restaurants,Grenada,13.6714181019606,733,"6432,6495",GRD
1990,Manufacturing,Grenada,11.0605630198989,733,"6432,6495",GRD
1990,Mining and quarrying,Grenada,1.10321908030354,733,"6432,6495",GRD
1990,Post and telecommunications,Grenada,6.1070890199873,733,"6432,6495",GRD
1990,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Grenada,79.6265049920981,733,"6432,6495",GRD
1990,Statistical discrepancy of GDP by economic activity,Grenada,-2.1096,733,"6432,6495",GRD
1990,Taxes on products less subsidies on products,Grenada,58.4272810819622,733,"6432,6495",GRD
1990,Total value added,Grenada,314.112653810276,733,"6432,6495",GRD
1990,Transport and supporting and auxiliary activities,Grenada,35.6172986863858,733,"6432,6495",GRD
1990,"Transport, storage and communications",Grenada,35.845842231068,733,"6432,6495",GRD
1990,"Wholesale and retail trade, and repair of goods",Grenada,33.4189398118773,733,"6432,6495",GRD
1990,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Grenada,47.5332918020648,733,"6432,6495",GRD
1991,"Agriculture, hunting and forestry",Grenada,36.7007022676104,733,"6432,6495",GRD
1991,"Agriculture, hunting, forestry and fishing",Grenada,41.3131591704964,733,"6432,6495",GRD
1991,Construction,Grenada,29.9827135570623,733,"6432,6495",GRD
1991,"Electricity, gas and water supply",Grenada,9.87493286171365,733,"6432,6495",GRD
1991,Financial intermediation services indirectly measured (FISIM),Grenada,3.86646749932204,733,"6432,6495",GRD
1991,"Financial intermediation, real estate, renting and business activities",Grenada,65.1051389161306,733,"6432,6495",GRD
1991,Fishing,Grenada,5.43698916750024,733,"6432,6495",GRD
1991,Gross domestic product (GDP),Grenada,365.376190302068,733,"6432,6495",GRD
1991,Hotels and restaurants,Grenada,14.9299782521411,733,"6432,6495",GRD
1991,Manufacturing,Grenada,11.703085353005,733,"6432,6495",GRD
1991,Mining and quarrying,Grenada,1.26530340015857,733,"6432,6495",GRD
1991,Post and telecommunications,Grenada,7.44713373300609,733,"6432,6495",GRD
1991,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Grenada,78.8697952254346,733,"6432,6495",GRD
1991,Statistical discrepancy of GDP by economic activity,Grenada,-3.8599,733,"6432,6495",GRD
1991,Taxes on products less subsidies on products,Grenada,45.8759178182072,733,"6432,6495",GRD
1991,Total value added,Grenada,323.360157672355,733,"6432,6495",GRD
1991,Transport and supporting and auxiliary activities,Grenada,37.2006680830559,733,"6432,6495",GRD
1991,"Transport, storage and communications",Grenada,39.6161446130499,733,"6432,6495",GRD
1991,"Wholesale and retail trade, and repair of goods",Grenada,33.9612228937034,733,"6432,6495",GRD
1991,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Grenada,49.4963520746256,733,"6432,6495",GRD
1992,"Agriculture, hunting and forestry",Grenada,35.4069606168983,733,"6432,6495",GRD
1992,"Agriculture, hunting, forestry and fishing",Grenada,40.1962300551846,733,"6432,6495",GRD
