Year,Item,Country,Value,Source,Notes,ISO3
1990,"Agriculture, hunting, forestry and fishing",Suriname,229.94176543612,733,"6432,6495",SUR
1990,Construction,Suriname,81.8637031638049,733,"6432,6495",SUR
1990,"Electricity, gas and water supply",Suriname,24.4020047795839,733,"6432,6495",SUR
1990,"Financial intermediation, real estate, renting and business activities",Suriname,143.89591983703,733,"6432,6495",SUR
1990,Gross domestic product (GDP),Suriname,1744.09544372489,733,"6495,6432",SUR
1990,Manufacturing,Suriname,314.812652426736,733,"6432,6495",SUR
1990,Mining and quarrying,Suriname,71.8493716961398,733,"6432,6495",SUR
1990,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,239.702783770904,733,"6432,6495",SUR
1990,Statistical discrepancy of GDP by economic activity,Suriname,230.6858,733,"6432,6495",SUR
1990,Total value added,Suriname,1513.40959968949,733,"6432,6495",SUR
1990,"Transport, storage and communications",Suriname,53.1194300456939,733,"6432,6495",SUR
1990,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,353.821968533474,733,"6432,6495",SUR
1991,"Agriculture, hunting, forestry and fishing",Suriname,257.867383119617,733,"6432,6495",SUR
1991,Construction,Suriname,83.9688494815389,733,"6432,6495",SUR
1991,"Electricity, gas and water supply",Suriname,24.4393826589447,733,"6432,6495",SUR
1991,"Financial intermediation, real estate, renting and business activities",Suriname,145.064721444441,733,"6432,6495",SUR
1991,Gross domestic product (GDP),Suriname,1785.89002679239,733,"6432,6495",SUR
1991,Manufacturing,Suriname,323.788894286673,733,"6432,6495",SUR
1991,Mining and quarrying,Suriname,69.5694972655338,733,"6432,6495",SUR
1991,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,234.871111458918,733,"6432,6495",SUR
1991,Statistical discrepancy of GDP by economic activity,Suriname,224.35,733,"6432,6495",SUR
1991,Total value added,Suriname,1561.54004802118,733,"6432,6495",SUR
1991,"Transport, storage and communications",Suriname,54.6891151431902,733,"6432,6495",SUR
1991,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,367.281093162327,733,"6432,6495",SUR
1992,"Agriculture, hunting, forestry and fishing",Suriname,264.349037792338,733,"6432,6495",SUR
1992,Construction,Suriname,99.9038312111419,733,"6432,6495",SUR
1992,"Electricity, gas and water supply",Suriname,26.2475826645924,733,"6432,6495",SUR
1992,"Financial intermediation, real estate, renting and business activities",Suriname,146.81512681384,733,"6432,6495",SUR
1992,Gross domestic product (GDP),Suriname,1800.5238625035,733,"6432,6495",SUR
1992,Manufacturing,Suriname,274.968396914495,733,"6432,6495",SUR
1992,Mining and quarrying,Suriname,68.9631569220415,733,"6432,6495",SUR
1992,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,233.02741331436,733,"6432,6495",SUR
1992,Statistical discrepancy of GDP by economic activity,Suriname,248.0257,733,"6432,6495",SUR
1992,Total value added,Suriname,1552.49813683372,733,"6432,6495",SUR
1992,"Transport, storage and communications",Suriname,54.157897166544,733,"6432,6495",SUR
1992,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,384.065694034364,733,"6432,6495",SUR
1993,"Agriculture, hunting, forestry and fishing",Suriname,245.298640121437,733,"6432,6495",SUR
1993,Construction,Suriname,90.2842884347413,733,"6432,6495",SUR
1993,"Electricity, gas and water supply",Suriname,25.5438713319107,733,"6432,6495",SUR
1993,"Financial intermediation, real estate, renting and business activities",Suriname,149.668989180684,733,"6432,6495",SUR
1993,Gross domestic product (GDP),Suriname,1705.19399225325,733,"6432,6495",SUR
1993,Manufacturing,Suriname,219.319280877222,733,"6432,6495",SUR
1993,Mining and quarrying,Suriname,67.6276080441758,733,"6432,6495",SUR
1993,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,224.185678299371,733,"6432,6495",SUR
1993,Statistical discrepancy of GDP by economic activity,Suriname,260.8142,733,"6495,6432",SUR
1993,Total value added,Suriname,1444.37979609355,733,"6432,6495",SUR
1993,"Transport, storage and communications",Suriname,58.4062035486075,733,"6432,6495",SUR
1993,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,364.045236255402,733,"6432,6495",SUR
1994,"Agriculture, hunting, forestry and fishing",Suriname,234.438066876823,733,"6432,6495",SUR
1994,Construction,Suriname,93.7556886540509,733,"6432,6495",SUR
1994,"Electricity, gas and water supply",Suriname,23.7431613695305,733,"6432,6495",SUR
1994,"Financial intermediation, real estate, renting and business activities",Suriname,152.55462049339,733,"6432,6495",SUR
1994,Gross domestic product (GDP),Suriname,1648.19823511637,733,"6432,6495",SUR
1994,Manufacturing,Suriname,225.478790964352,733,"6432,6495",SUR
1994,Mining and quarrying,Suriname,77.2828698215469,733,"6432,6495",SUR
1994,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,210.878987342995,733,"6432,6495",SUR
1994,Statistical discrepancy of GDP by economic activity,Suriname,259.7777,733,"6432,6495",SUR
1994,Total value added,Suriname,1388.42050118818,733,"6432,6495",SUR
1994,"Transport, storage and communications",Suriname,58.1550142785897,733,"6432,6495",SUR
1994,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,312.133301386906,733,"6432,6495",SUR
1995,"Agriculture, hunting, forestry and fishing",Suriname,218.374087544985,733,"6432,6495",SUR
1995,Construction,Suriname,88.2070248496922,733,"6432,6495",SUR
1995,"Electricity, gas and water supply",Suriname,25.0106125895315,733,"6432,6495",SUR
1995,"Financial intermediation, real estate, renting and business activities",Suriname,152.614291075839,733,"6432,6495",SUR
1995,Gross domestic product (GDP),Suriname,1693.9218016184,733,"6432,6495",SUR
1995,Manufacturing,Suriname,221.742449468776,733,"6432,6495",SUR
1995,Mining and quarrying,Suriname,78.5160571651537,733,"6432,6495",SUR
1995,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,210.157540242951,733,"6432,6495",SUR
1995,Statistical discrepancy of GDP by economic activity,Suriname,265.9014,733,"6432,6495",SUR
1995,Total value added,Suriname,1428.02039589709,733,"6432,6495",SUR
1995,"Transport, storage and communications",Suriname,64.3822644300674,733,"6432,6495",SUR
1995,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,369.016068530091,733,"6432,6495",SUR
1996,"Agriculture, hunting, forestry and fishing",Suriname,221.839602560637,733,"6432,6495",SUR
1996,Construction,Suriname,94.257577842385,733,"6432,6495",SUR
1996,"Electricity, gas and water supply",Suriname,27.0232048121411,733,"6432,6495",SUR
1996,"Financial intermediation, real estate, renting and business activities",Suriname,157.960406866938,733,"6432,6495",SUR
1996,Gross domestic product (GDP),Suriname,1712.5436427683,733,"6432,6495",SUR
1996,Manufacturing,Suriname,232.315467939777,733,"6432,6495",SUR
1996,Mining and quarrying,Suriname,82.7098440794298,733,"6432,6495",SUR
1996,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,203.840870078117,733,"6432,6495",SUR
1996,Statistical discrepancy of GDP by economic activity,Suriname,274.2053,733,"6432,6495",SUR
1996,Total value added,Suriname,1438.33829285031,733,"6432,6495",SUR
1996,"Transport, storage and communications",Suriname,71.3754852895816,733,"6432,6495",SUR
1996,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Suriname,347.015833381305,733,"6432,6495",SUR
1997,"Agriculture, hunting, forestry and fishing",Suriname,215.689650782995,733,"6432,6495",SUR
1997,Construction,Suriname,74.8372545271293,733,"6432,6495",SUR
1997,"Electricity, gas and water supply",Suriname,27.902656027485,733,"6432,6495",SUR
1997,"Financial intermediation, real estate, renting and business activities",Suriname,155.479522059121,733,"6432,6495",SUR
1997,Gross domestic product (GDP),Suriname,1750.89066897846,733,"6495,6432",SUR
1997,Manufacturing,Suriname,232.892578351362,733,"6432,6495",SUR
1997,Mining and quarrying,Suriname,92.7900646208338,733,"6432,6495",SUR
1997,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Suriname,204.385963442595,733,"6432,6495",SUR
1997,Statistical discrepancy of GDP by economic activity,Suriname,284.8886,733,"6432,6495",SUR
