Months,Country,Year,Value,Source,Notes,ISO3
January,Grenada,1980,33.05243,937,5910,GRD
January,Jamaica,1980,31.9207,277,"2833,5941",JAM
January,Saint Vincent and the Grenadines,1980,35.32207,940,5910,VCT
January,Saint Lucia,1980,36.4948,925,"2840,5948",LCA
February,Grenada,1980,33.93161,937,5910,GRD
February,Jamaica,1980,32.6686,277,"5941,2833",JAM
February,Saint Vincent and the Grenadines,1980,36.64667,940,5910,VCT
February,Saint Lucia,1980,37.19897,925,"2840,5948",LCA
March,Grenada,1980,35.05813,937,5910,GRD
March,Jamaica,1980,33.0176,277,"2833,5941",JAM
March,Saint Vincent and the Grenadines,1980,37.20264,940,5910,VCT
March,Saint Lucia,1980,38.04402,925,"2840,5948",LCA
April,Grenada,1980,35.55267,937,5910,GRD
April,Jamaica,1980,33.3541,277,"5941,2833",JAM
April,Saint Vincent and the Grenadines,1980,36.94101,940,5910,VCT
April,Saint Lucia,1980,38.50798,925,"2840,5948",LCA
May,Grenada,1980,36.12967,937,5910,GRD
May,Jamaica,1980,34.7252,277,"2833,5941",JAM
May,Saint Vincent and the Grenadines,1980,37.77503,940,5910,VCT
May,Saint Lucia,1980,38.76478,925,"2840,5948",LCA
June,Grenada,1980,36.29449,937,5910,GRD
June,Jamaica,1980,35.8594,277,"2833,5941",JAM
June,Saint Vincent and the Grenadines,1980,37.84042,940,5910,VCT
June,Saint Lucia,1980,39.22045,925,"2840,5948",LCA
July,Grenada,1980,37.33856,937,5910,GRD
July,Jamaica,1980,36.8067,277,"2833,5941",JAM
July,Saint Vincent and the Grenadines,1980,38.08571,940,5910,VCT
July,Saint Lucia,1980,39.8667,925,"2840,5948",LCA
August,Grenada,1980,38.9321,937,5910,GRD
August,Jamaica,1980,37.4424,277,"2833,5941",JAM
August,Saint Vincent and the Grenadines,1980,38.42094,940,5910,VCT
August,Saint Lucia,1980,40.39695,925,"2840,5948",LCA
September,Grenada,1980,40.05855,937,5910,GRD
September,Jamaica,1980,37.8287,277,"2833,5941",JAM
September,Saint Vincent and the Grenadines,1980,39.57386,940,5910,VCT
September,Saint Lucia,1980,41.242,925,"5948,2840",LCA
October,Grenada,1980,40.30582,937,5910,GRD
October,Jamaica,1980,38.6514,277,"2833,5941",JAM
October,Saint Vincent and the Grenadines,1980,39.77824,940,5910,VCT
October,Saint Lucia,1980,42.55102,925,"2840,5948",LCA
November,Grenada,1980,40.77291,937,5910,GRD
November,Jamaica,1980,39.2746,277,"2833,5941",JAM
November,Saint Vincent and the Grenadines,1980,41.60155,940,5910,VCT
November,Saint Lucia,1980,43.06468,925,"2840,5948",LCA
December,Bahamas,1980,38.87827,274,"5930,3775",BHS
December,Barbados,1980,53.04761,275,"5931,2822",BRB
December,Grenada,1980,41.67962,937,5910,GRD
December,Jamaica,1980,39.5488,277,"2833,5941",JAM
December,Saint Vincent and the Grenadines,1980,41.8387,940,5910,VCT
December,Saint Lucia,1980,43.77715,925,"2840,5948",LCA
December,Trinidad and Tobago,1980,19.5656,278,"2842,5950",TTO
February,Haiti,1980,13.0467,276,"2831,5962",HTI
March,Haiti,1980,13.0467,276,"2831,5962",HTI
April,Haiti,1980,13.0467,276,"2831,5962",HTI
May,Haiti,1980,13.0467,276,"5962,2831",HTI
June,Haiti,1980,13.0467,276,"2831,5962",HTI
July,Haiti,1980,13.0467,276,"2831,5962",HTI
August,Haiti,1980,13.0467,276,"2831,5962",HTI
September,Haiti,1980,13.0467,276,"2831,5962",HTI
October,Haiti,1980,13.0467,276,"2831,5962",HTI
November,Haiti,1980,13.0467,276,"2831,5962",HTI
December,Haiti,1980,13.0467,276,"2831,5962",HTI
January,Trinidad and Tobago,1980,17.40209,278,"2842,5950",TTO
February,Trinidad and Tobago,1980,17.33154,278,"2842,5950",TTO
March,Trinidad and Tobago,1980,17.33154,278,"2842,5950",TTO
April,Trinidad and Tobago,1980,17.51967,278,"2842,5950",TTO
May,Trinidad and Tobago,1980,17.63726,278,"2842,5950",TTO
June,Trinidad and Tobago,1980,17.89594,278,"2842,5950",TTO
July,Trinidad and Tobago,1980,18.36626,278,"2842,5950",TTO
August,Trinidad and Tobago,1980,18.4133,278,"2842,5950",TTO
September,Trinidad and Tobago,1980,18.55439,278,"2842,5950",TTO
October,Trinidad and Tobago,1980,19.11879,278,"2842,5950",TTO
November,Trinidad and Tobago,1980,19.35395,278,"2842,5950",TTO
January,Haiti,1980,13.0467,276,"2831,5962",HTI
June,Saint Lucia,1981,45.95603,925,"5948,2840",LCA
July,Grenada,1981,44.59196,937,5910,GRD
July,Jamaica,1981,40.7454,277,"2833,5941",JAM
July,Saint Vincent and the Grenadines,1981,43.29492,940,5910,VCT
July,Saint Lucia,1981,46.0969,925,"2840,5948",LCA
August,Grenada,1981,45.55358,937,5910,GRD
August,Jamaica,1981,41.057,277,"2833,5941",JAM
August,Saint Vincent and the Grenadines,1981,44.14779,940,5910,VCT
August,Saint Lucia,1981,46.27919,925,"2840,5948",LCA
September,Grenada,1981,45.49859,937,5910,GRD
September,Jamaica,1981,41.2439,277,"2833,5941",JAM
September,Saint Vincent and the Grenadines,1981,44.2696,940,5910,VCT
September,Saint Lucia,1981,46.52769,925,"2840,5948",LCA
October,Grenada,1981,45.7734,937,5910,GRD
October,Jamaica,1981,41.3187,277,"2833,5941",JAM
October,Saint Vincent and the Grenadines,1981,44.79761,940,5910,VCT
October,Saint Lucia,1981,47.12424,925,"2840,5948",LCA
November,Grenada,1981,45.93822,937,5910,GRD
November,Jamaica,1981,41.3062,277,"2833,5941",JAM
November,Saint Vincent and the Grenadines,1981,44.79761,940,5910,VCT
November,Saint Lucia,1981,47.19053,925,"2840,5948",LCA
December,Bahamas,1981,42.3723,274,"3775,5930",BHS
December,Barbados,1981,59.55973,275,"2822,5931",BRB
December,Grenada,1981,46.07558,937,5910,GRD
December,Jamaica,1981,41.4932,277,"2833,5941",JAM
December,Saint Vincent and the Grenadines,1981,45.36624,940,5910,VCT
December,Saint Lucia,1981,47.91958,925,"2840,5948",LCA
December,Trinidad and Tobago,1981,21.82317,278,"2842,5950",TTO
January,Grenada,1981,41.78952,937,5910,GRD
January,Jamaica,1981,39.8105,277,"2833,5941",JAM
January,Saint Vincent and the Grenadines,1981,40.61435,940,5910,VCT
January,Saint Lucia,1981,43.91795,925,"2840,5948",LCA
February,Grenada,1981,42.88851,937,5910,GRD
February,Jamaica,1981,39.5737,277,"2833,5941",JAM
