Year,Value,Source,Notes,ISO3,Country
1960,4712,20,,TTO,Trinidad and Tobago
1960,472,20,,BLZ,Belize
1960,3172,20,,GUY,Guyana
1960,1368,20,,BRB,Barbados
1960,30500,20,16,CUB,Cuba
1960,6753,20,,JAM,Jamaica
1960,7524,20,,DOM,Dominican Republic
1960,2316,20,,HTI,Haiti
1960,647,20,,BHS,Bahamas
1965,2389,20,,HTI,Haiti
1965,1629,20,,BRB,Barbados
1965,3962,20,,GUY,Guyana
1965,48669,20,16,CUB,Cuba
1965,7023,20,,JAM,Jamaica
1965,827,20,,BHS,Bahamas
1965,4247,20,,TTO,Trinidad and Tobago
1965,10425,20,,DOM,Dominican Republic
1965,545,20,,BLZ,Belize
1970,7672,20,,JAM,Jamaica
1970,2445,20,,BRB,Barbados
1970,3545,20,17,HTI,Haiti
1970,871,20,,BHS,Bahamas
1970,57653,20,16,CUB,Cuba
1970,11674,20,,DOM,Dominican Republic
1970,4800,20,,TTO,Trinidad and Tobago
1970,3377,20,,GUY,Guyana
1970,560,20,,BLZ,Belize
1971,13469,20,,DOM,Dominican Republic
1971,560,20,,BLZ,Belize
1971,3450,20,,GUY,Guyana
1971,54303,20,16,CUB,Cuba
1971,2263,20,,BRB,Barbados
1971,7817,20,,JAM,Jamaica
1972,54873,20,16,CUB,Cuba
1972,11975,20,,DOM,Dominican Republic
1972,7100,20,,JAM,Jamaica
1972,3494,20,17,HTI,Haiti
1972,2216,20,,BRB,Barbados
1972,3969,20,,GUY,Guyana
1972,560,20,,BLZ,Belize
1972,4804,20,,TTO,Trinidad and Tobago
1973,7607,20,,JAM,Jamaica
1973,2190,20,,BRB,Barbados
1973,3987,20,,GUY,Guyana
1973,52524,20,16,CUB,Cuba
1973,3868,20,17,HTI,Haiti
1973,12507,20,,DOM,Dominican Republic
1973,560,20,,BLZ,Belize
1973,312,20,17,DMA,Dominica
1974,600,20,,BLZ,Belize
1974,52709,20,16,CUB,Cuba
1974,2130,20,,BRB,Barbados
1974,7657,20,,JAM,Jamaica
1975,3969,20,,GUY,Guyana
1975,7780,20,,JAM,Jamaica
1975,874,20,,BHS,Bahamas
1975,4815,20,,TTO,Trinidad and Tobago
1975,12618,20,,DOM,Dominican Republic
1975,600,20,,BLZ,Belize
1975,2161,20,,BRB,Barbados
1975,4104,20,,HTI,Haiti
1975,51244,20,16,CUB,Cuba
1976,7648,20,,JAM,Jamaica
1976,51513,20,16,CUB,Cuba
1976,3643,20,17,HTI,Haiti
1976,2141,20,,BRB,Barbados
1976,615,20,,BLZ,Belize
1976,3373,20,,GUY,Guyana
1977,4514,20,17,HTI,Haiti
1977,7717,20,,JAM,Jamaica
1977,623,20,,BLZ,Belize
1977,2146,20,,BRB,Barbados
1977,51192,20,16,CUB,Cuba
1978,4591,20,17,HTI,Haiti
1978,639,20,,GRD,Grenada
1978,7644,20,,JAM,Jamaica
1978,3906,20,,GUY,Guyana
1978,51595,20,16,CUB,Cuba
1978,2073,20,,SUR,Suriname
1978,594,20,,BLZ,Belize
1979,4002,20,,GUY,Guyana
1979,7648,20,,JAM,Jamaica
1979,52676,20,16,CUB,Cuba
1979,4387,20,,TTO,Trinidad and Tobago
1979,564,20,,BLZ,Belize
1980,556,20,,BLZ,Belize
1980,572,20,,VCT,Saint Vincent and the Grenadines
1980,207,20,,ATG,Antigua and Barbuda
1980,323,20,,GRD,Grenada
1980,2129,20,,BRB,Barbados
1980,4565,20,,TTO,Trinidad and Tobago
1980,3954,20,17,HTI,Haiti
1980,156,20,,DMA,Dominica
1980,6527,20,,JAM,Jamaica
1980,6633,20,,DOM,Dominican Republic
1980,3169,20,,SUR,Suriname
1980,53417,20,16,CUB,Cuba
1981,56492,20,16,CUB,Cuba
1981,6535,20,,JAM,Jamaica
1981,5250,20,17,HTI,Haiti
1981,4456,20,,TTO,Trinidad and Tobago
1981,2054,20,,BRB,Barbados
1981,556,20,,BLZ,Belize
1981,572,20,,VCT,Saint Vincent and the Grenadines
1981,320,20,,GRD,Grenada
1981,153,20,,DMA,Dominica
1981,205,20,,ATG,Antigua and Barbuda
1982,144,20,,DMA,Dominica
1982,58326,20,16,CUB,Cuba
1982,4321,20,,TTO,Trinidad and Tobago
1982,2054,20,,BRB,Barbados
1982,6342,20,,JAM,Jamaica
1982,578,20,,BLZ,Belize
1982,900,20,,BHS,Bahamas
1983,140,20,,DMA,Dominica
1983,9814,20,,DOM,Dominican Republic
1983,6334,20,,JAM,Jamaica
1983,2049,20,,BRB,Barbados
1983,948,20,,BHS,Bahamas
1983,4438,20,,TTO,Trinidad and Tobago
1983,576,20,,BLZ,Belize
1983,60037,20,16,CUB,Cuba
1984,4438,20,,TTO,Trinidad and Tobago
1984,6316,20,,JAM,Jamaica
1984,177,20,,DMA,Dominica
1984,2076,20,,BRB,Barbados
1984,63015,20,16,CUB,Cuba
1984,583,20,,BLZ,Belize
1984,968,20,,BHS,Bahamas
1985,999,20,,BHS,Bahamas
1985,190,20,,DMA,Dominica
1985,1962,20,,SUR,Suriname
1985,64160,20,16,CUB,Cuba
1985,4481,20,,TTO,Trinidad and Tobago
1985,2111,20,,BRB,Barbados
1985,5778,20,,JAM,Jamaica
1985,583,20,,BLZ,Belize
1986,5223,20,,JAM,Jamaica
1986,329,20,,ATG,Antigua and Barbuda
1986,2054,20,,BRB,Barbados
1986,999,20,,BHS,Bahamas
1986,4087,20,,TTO,Trinidad and Tobago
1986,501,20,,LCA,Saint Lucia
1986,66412,20,16,CUB,Cuba
1986,1893,20,,SUR,Suriname
1986,190,20,,DMA,Dominica
1986,258,20,,KNA,Saint Kitts and Nevis
1986,583,20,,BLZ,Belize
1987,71106,20,16,CUB,Cuba
1987,676,20,,GRD,Grenada
1987,4241,20,,TTO,Trinidad and Tobago
1987,1050,20,,BHS,Bahamas
1987,583,20,,BLZ,Belize
1987,5707,20,,JAM,Jamaica
1987,190,20,,DMA,Dominica
1987,1883,20,,SUR,Suriname
1987,524,20,,VCT,Saint Vincent and the Grenadines
1987,539,20,,LCA,Saint Lucia
1987,2204,20,,GUY,Guyana
1987,329,20,,ATG,Antigua and Barbuda
1987,2054,20,,BRB,Barbados
1987,4965,20,,HTI,Haiti
1987,13169,20,,DOM,Dominican Republic
1987,256,20,,KNA,Saint Kitts and Nevis
1988,2049,20,,BRB,Barbados
1988,329,20,,ATG,Antigua and Barbuda
1988,1815,20,,SUR,Suriname
1988,583,20,,BLZ,Belize
1988,5667,20,,JAM,Jamaica
1988,4607,20,,TTO,Trinidad and Tobago
1988,190,20,,DMA,Dominica
1988,978,20,,BHS,Bahamas
1988,258,20,,KNA,Saint Kitts and Nevis
1988,545,20,,LCA,Saint Lucia
1988,73212,20,16,CUB,Cuba
1989,5027,20,,JAM,Jamaica
1989,190,20,,DMA,Dominica
