Country or Area,Year,Value,Value Footnotes
Antigua and Barbuda,2012,59,1
Antigua and Barbuda,2011,53,1
Antigua and Barbuda,2010,47,1
Antigua and Barbuda,2009,42,1
Antigua and Barbuda,2008,38,1
Antigua and Barbuda,2007,34,1
Antigua and Barbuda,2006,30,1
Antigua and Barbuda,2005,27,1
Antigua and Barbuda,2004,24.26654372,2
Antigua and Barbuda,2003,17.22864878,1
Antigua and Barbuda,2002,12.5,2
Antigua and Barbuda,2001,8.899285515,1
Antigua and Barbuda,2000,6.482225737,2
Bahamas,2012,71.74820281,1
Bahamas,2011,65,3
Bahamas,2010,43,1
Bahamas,2009,33.88,3
Bahamas,2008,31.54,3
Bahamas,2007,27,1
Bahamas,2006,26,1
Bahamas,2005,25,1
Bahamas,2004,22,1
Bahamas,2003,20,1
Bahamas,2002,18,4
Bahamas,2001,11.8,4
Bahamas,2000,8,4
Barbados,2012,73.32981369,1
Barbados,2011,71.7657,1
Barbados,2010,68.1,1
Barbados,2009,64.7,1
Barbados,2008,61.4,1
Barbados,2007,58.2,1
Barbados,2006,55.3,1
Barbados,2005,52.5,1
Barbados,2004,49.8,5
Barbados,2003,39.68962712,6
Barbados,2002,27.83632242,1
Barbados,2001,11.93645034,1
Barbados,2000,3.973678355,7
Bermuda,2012,91.29930452,1
Bermuda,2011,88.336,1
Bermuda,2010,84.21,1
Bermuda,2009,83.25,8
Bermuda,2008,82.3,9
Bermuda,2007,74.35059403,
Bermuda,2006,69.89965516,
Bermuda,2005,65.44706579,
Bermuda,2004,60.99086701,
Bermuda,2003,56.52201218,
Bermuda,2002,52.03159737,
Bermuda,2001,47.5096999,
Bermuda,2000,42.94986002,
Cuba,2012,25.64170387,1
Cuba,2011,23.23,10
Cuba,2010,15.9,10
Cuba,2009,14.33,11
Cuba,2008,12.94,10
Cuba,2007,11.69,10
Cuba,2006,11.15960131,12
Cuba,2005,9.738062208,12
Cuba,2004,8.407984759,12
Cuba,2003,5.241269054,12
Cuba,2002,3.770585038,12
Cuba,2001,1.079751722,13
Cuba,2000,0.541182549,13
Dominica,2012,55.17701416,1
Dominica,2011,51.3135,1
Dominica,2010,47.45,14
Dominica,2009,42.02,1
Dominica,2008,41.16,1
Dominica,2007,40.27446301,1
Dominica,2006,39.3981743,1
Dominica,2005,38.54364326,1
Dominica,2004,30.31961309,1
Dominica,2003,23.62041985,1
Dominica,2002,18.42489277,
Dominica,2001,13.24522804,
Dominica,2000,8.814844198,
Dominican Rep.,2012,45,1
Dominican Rep.,2011,35.6,15
Dominican Rep.,2010,31.4,1
Dominican Rep.,2009,27.72,16
Dominican Rep.,2008,20.82,17
Dominican Rep.,2007,17.66,17
Dominican Rep.,2006,14.84492837,18
Dominican Rep.,2005,11.48319778,18
Dominican Rep.,2004,8.865553461,18
Dominican Rep.,2003,7.898392937,18
Dominican Rep.,2002,6.823725733,18
Dominican Rep.,2001,4.429390697,18
Dominican Rep.,2000,3.704692356,18
Grenada,2012,42.09025566,1
Grenada,2011,38.13,1
Grenada,2010,33.46,1
Grenada,2009,24.05,1
Grenada,2008,23.18,1
Grenada,2007,22.29,19
Grenada,2006,21.39599117,1
Grenada,2005,20.48780488,1
Grenada,2004,19.57062058,1
Grenada,2003,18.64518218,1
Grenada,2002,14.75884055,
Grenada,2001,5.128103982,
Grenada,2000,4.063907991,
Guyana,2012,33,1
Guyana,2011,31,1
Guyana,2010,29.9,20
Guyana,2009,23.9,20
Guyana,2008,18.2,20
Guyana,2007,13.8,1
Guyana,2001,13.2069865,
Guyana,2000,6.611491566,
Haiti,2012,9.8,1
Haiti,2011,9,1
Haiti,2010,8.37,1
Haiti,2009,8.1,1
Haiti,2008,7.6,1
Haiti,2007,7.2,1
Haiti,2006,6.796000481,1
Haiti,2005,6.376201635,1
Haiti,2004,5.401261908,1
Haiti,2003,1.647358346,1
Haiti,2002,0.893432988,
Haiti,2001,0.340832326,
Haiti,2000,0.231270715,
Jamaica,2012,46.5,1
Jamaica,2011,37.49,21
Jamaica,2010,27.67,22
Jamaica,2009,24.3,23
Jamaica,2008,23.6,23
Jamaica,2007,21.1,1
Jamaica,2006,16.4,1
Jamaica,2005,12.8,1
Jamaica,2004,10,1
Jamaica,2003,7.8,1
Jamaica,2002,6.1,1
Jamaica,2001,3.863020387,24
Jamaica,2000,3.115778027,24
Puerto Rico,2012,51.4114,1
Puerto Rico,2011,48,25
Puerto Rico,2010,45.3,26
Puerto Rico,2009,41.5,27
Puerto Rico,2008,38,28
Puerto Rico,2007,27.86,29
Puerto Rico,2006,25.44241821,30
Puerto Rico,2005,23.40005045,1
Puerto Rico,2004,22.13073823,30
Puerto Rico,2003,19.70702566,30
Puerto Rico,2002,17.54764757,30
Puerto Rico,2001,15.63003092,30
Puerto Rico,2000,10.47464821,30
Saint Kitts and Nevis,2012,79.34889896,1
Saint Kitts and Nevis,2011,77.6,1
Saint Kitts and Nevis,2010,76,1
Saint Kitts and Nevis,2009,69,1
Saint Kitts and Nevis,2008,60,1
Saint Kitts and Nevis,2007,52,1
Saint Kitts and Nevis,2006,49,1
Saint Kitts and Nevis,2005,34,1
Saint Kitts and Nevis,2004,24.73767754,
Saint Kitts and Nevis,2003,22.96978429,
Saint Kitts and Nevis,2002,21.15238176,
Saint Kitts and Nevis,2001,7.714726556,
Saint Kitts and Nevis,2000,5.86281024,
Saint Lucia,2012,48.6281,1
Saint Lucia,2011,45,1
Saint Lucia,2010,43.3,31
Saint Lucia,2009,36,1
Saint Lucia,2008,32,1
Saint Lucia,2007,27.9,1
Saint Lucia,2006,24.5,1
Saint Lucia,2005,21.56758295,
Saint Lucia,2004,21.39521236,
Saint Lucia,2003,20.98247346,
Saint Lucia,2002,14.64183577,
Saint Lucia,2001,8.181863954,
Saint Lucia,2000,5.090483341,
St. Vincent and the Grenadines,2012,47.52,1
St. Vincent and the Grenadines,2011,43.01,32
St. Vincent and the Grenadines,2010,38.5,1
St. Vincent and the Grenadines,2009,31,1
St. Vincent and the Grenadines,2008,21,1
St. Vincent and the Grenadines,2007,16,1
St. Vincent and the Grenadines,2006,12,1
St. Vincent and the Grenadines,2005,9.198278082,33
St. Vincent and the Grenadines,2004,7.371165842,33
St. Vincent and the Grenadines,2003,6.462274167,33
St. Vincent and the Grenadines,2002,5.54959488,34
St. Vincent and the Grenadines,2001,5.094809778,35
St. Vincent and the Grenadines,2000,3.245037411,35
Suriname,2012,34.6812,1
Suriname,2011,32,1
Suriname,2010,31.59,36
Suriname,2009,31.36,36
Suriname,2008,21.06,1
Suriname,2007,14.11,36
Suriname,2006,9.499626942,1
Suriname,2005,6.403086288,37
Suriname,2004,6.076047814,37
Suriname,2003,4.719875395,37
Suriname,2002,4.161568745,37
Suriname,2001,3.064448389,37
Suriname,2000,2.506411052,37
Trinidad and Tobago,2012,59.5162,1
Trinidad and Tobago,2011,55.2,38
Trinidad and Tobago,2010,48.5,38
Trinidad and Tobago,2009,44.3,39
Trinidad and Tobago,2008,34.8,39
Trinidad and Tobago,2007,32.3,39
Trinidad and Tobago,2006,30.00374858,1
Trinidad and Tobago,2005,28.97671243,1
Trinidad and Tobago,2004,27.02427008,1
Trinidad and Tobago,2003,25.97176411,1
Trinidad and Tobago,2002,21.99867548,1
Trinidad and Tobago,2001,15.38462722,1
Trinidad and Tobago,2000,7.721411474,40
Virgin Islands (U.S.),2012,40.5479,1
Virgin Islands (U.S.),2011,35.6,1
Virgin Islands (U.S.),2010,31.22,1
Virgin Islands (U.S.),2009,27.39650968,1
Virgin Islands (U.S.),2008,27.36177742,1
Virgin Islands (U.S.),2007,27.33933584,41
Virgin Islands (U.S.),2006,27.33261054,1
Virgin Islands (U.S.),2005,27.34431967,1
Virgin Islands (U.S.),2004,27.37700879,1
Virgin Islands (U.S.),2003,27.42907299,1
Virgin Islands (U.S.),2002,27.49443238,41
Virgin Islands (U.S.),2001,18.37576604,41
Virgin Islands (U.S.),2000,13.81508054,41
