key,value
name,Cuba - Contraceptive use [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Contraceptive use [307]
description,"Corresponds to the percentage of women who are practising, or whose sexual partners are practising any form of contraception. It is usually reported for women ages 15-49 in marital or consensual unions"
category,Social
type,Health
file,contraception_cub_cepalstat.csv
filehash,2347c895e740c7e49e4ae5dbd023cd53ed0c3cac
columns,"year,value,source,notes"
