key,value
name,Haiti - Contraceptive use [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Contraceptive use [307]
description,"Corresponds to the percentage of women who are practising, or whose sexual partners are practising any form of contraception. It is usually reported for women ages 15-49 in marital or consensual unions"
category,Social
type,Health
file,contraception_hti_cepalstat.csv
filehash,404217d29a5e48e9bb7f9784d6f263ce8f82b26f
columns,"year,value,source,notes"
