key,value
name,Puerto Rico - Contraceptive use [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Contraceptive use [307]
description,"Corresponds to the percentage of women who are practising, or whose sexual partners are practising any form of contraception. It is usually reported for women ages 15-49 in marital or consensual unions"
category,Social
type,Health
file,contraception_pri_cepalstat.csv
filehash,7990b3750a3d1b2b3a07af32e1bd0255e076ff7c
columns,"year,value,source,notes"
