key,value
name,Suriname - Contraceptive use [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Contraceptive use [307]
description,"Corresponds to the percentage of women who are practising, or whose sexual partners are practising any form of contraception. It is usually reported for women ages 15-49 in marital or consensual unions"
category,Social
type,Health
file,contraception_sur_cepalstat.csv
filehash,d0a1576b614fecd6e3cb5d630152fbe4a1cbda90
columns,"year,value,source,notes"
