year,value,source,note
1997,49005055,Economic Commission for Latin America and the Caribbean,
1998,42012785,Economic Commission for Latin America and the Caribbean,
1999,33536548,Economic Commission for Latin America and the Caribbean,
2000,38541047,Economic Commission for Latin America and the Caribbean,
2001,52658553,Economic Commission for Latin America and the Caribbean,
2002,48426229,Economic Commission for Latin America and the Caribbean,
2003,56784749,Economic Commission for Latin America and the Caribbean,
2004,52132181,Economic Commission for Latin America and the Caribbean,
2005,51421000,Economic Commission for Latin America and the Caribbean,
2006,37677992,Economic Commission for Latin America and the Caribbean,
2007,40753884,Economic Commission for Latin America and the Caribbean,
2008,45142961,Economic Commission for Latin America and the Caribbean,
2009,44344558,Economic Commission for Latin America and the Caribbean,
2010,30601551,Economic Commission for Latin America and the Caribbean,
2011,29146861,Economic Commission for Latin America and the Caribbean,
2012,26963912,Economic Commission for Latin America and the Caribbean,
