year,value,source,note
2002,1964496265,Economic Commission for Latin America and the Caribbean,
2003,2035626309,Economic Commission for Latin America and the Caribbean,
2004,2030823582,Economic Commission for Latin America and the Caribbean,
2005,1778500000,Economic Commission for Latin America and the Caribbean,
2006,1644511259,Economic Commission for Latin America and the Caribbean,
2007,1966410321,Economic Commission for Latin America and the Caribbean,
2008,1977782061,Economic Commission for Latin America and the Caribbean,
2009,2043197715,Economic Commission for Latin America and the Caribbean,
2010,1938262449,Economic Commission for Latin America and the Caribbean,
2011,2034978536,Economic Commission for Latin America and the Caribbean,
2012,2010883958,Economic Commission for Latin America and the Caribbean,
