year,value,source,note
2000,3383270,Economic Commission for Latin America and the Caribbean,
2001,3891228,Economic Commission for Latin America and the Caribbean,
2002,4752014,Economic Commission for Latin America and the Caribbean,
2003,4738240,Economic Commission for Latin America and the Caribbean,
2004,5520627,Economic Commission for Latin America and the Caribbean,
2005,5753074,Economic Commission for Latin America and the Caribbean,
2006,3366340,Economic Commission for Latin America and the Caribbean,
2007,3566625,Economic Commission for Latin America and the Caribbean,
2008,3681771,Economic Commission for Latin America and the Caribbean,
2009,3365609,Economic Commission for Latin America and the Caribbean,
2010,3489480,Economic Commission for Latin America and the Caribbean,
2011,3517699,Economic Commission for Latin America and the Caribbean,
2012,3342806,Economic Commission for Latin America and the Caribbean,
