year,value,source,notes
1990,41283073,Economic Commission for Latin America and the Caribbean,
1991,35410424,Economic Commission for Latin America and the Caribbean,
1992,38820806,Economic Commission for Latin America and the Caribbean,
1993,35547216,Economic Commission for Latin America and the Caribbean,
1994,22000029,Economic Commission for Latin America and the Caribbean,
1995,33174572,Economic Commission for Latin America and the Caribbean,
1996,31471739,Economic Commission for Latin America and the Caribbean,
1997,25617958,Economic Commission for Latin America and the Caribbean,
1998,28051924,Economic Commission for Latin America and the Caribbean,
1999,27490602,Economic Commission for Latin America and the Caribbean,
2000,28886830,Economic Commission for Latin America and the Caribbean,
2001,26855726,Economic Commission for Latin America and the Caribbean,
2002,30549472,Economic Commission for Latin America and the Caribbean,
2003,28468804,Economic Commission for Latin America and the Caribbean,
2004,27355237,Economic Commission for Latin America and the Caribbean,
2005,27909864,Economic Commission for Latin America and the Caribbean,
2006,28968529,Economic Commission for Latin America and the Caribbean,
2007,31819368,Economic Commission for Latin America and the Caribbean,
2008,31556622,Economic Commission for Latin America and the Caribbean,
2009,35645394,Economic Commission for Latin America and the Caribbean,
2010,29153939,Economic Commission for Latin America and the Caribbean,
2011,29167159,Economic Commission for Latin America and the Caribbean,
2012,29781592,Economic Commission for Latin America and the Caribbean,
