year,value,source,notes
2000,45919998,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,43090210,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,42295167,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,40291808,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,40708496,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,40511919,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,40733825,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,36989438,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,42534276,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,43235287,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,39811651,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,42801102,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,45997127,CEPALStat: 733,"CEPALStat: 6432,6495"
