year,value,source,notes
1990,1532700907,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,1597785695,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1742589725,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1767578632,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1657928311,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1769981411,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1839985870,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1787688851,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1797958122,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1873896402,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1952989635,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2138828960,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-2102577246,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-2062565744,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-2117944589,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-1990012250,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-1792493327,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-1761581046,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1846691675,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-1541820742,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-1391323170,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-1233053128,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,-1108077253,CEPALStat: 733,"CEPALStat: 6432,6495"
