year,value,source,notes
2000,39287901,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,30251872,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,33033674,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,29398719,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,30144869,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,23209654,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,25340289,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,25292499,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,32478378,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,31293770,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,24548243,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,21291857,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,23090888,CEPALStat: 733,"CEPALStat: 6432,6495"
