year,value,source,notes
1990,125527098,Economic Commission for Latin America and the Caribbean,
1991,155894115,Economic Commission for Latin America and the Caribbean,
1992,134653948,Economic Commission for Latin America and the Caribbean,
1993,148629940,Economic Commission for Latin America and the Caribbean,
1994,150176653,Economic Commission for Latin America and the Caribbean,
1995,146542224,Economic Commission for Latin America and the Caribbean,
1996,159230606,Economic Commission for Latin America and the Caribbean,
1997,159432957,Economic Commission for Latin America and the Caribbean,
1998,144628159,Economic Commission for Latin America and the Caribbean,
1999,137360626,Economic Commission for Latin America and the Caribbean,
2000,149221644,Economic Commission for Latin America and the Caribbean,
2001,151664492,Economic Commission for Latin America and the Caribbean,
2002,172212352,Economic Commission for Latin America and the Caribbean,
2003,187978876,Economic Commission for Latin America and the Caribbean,
2004,175152921,Economic Commission for Latin America and the Caribbean,
2005,157768000,Economic Commission for Latin America and the Caribbean,
2006,144861767,Economic Commission for Latin America and the Caribbean,
2007,134237826,Economic Commission for Latin America and the Caribbean,
2008,138193105,Economic Commission for Latin America and the Caribbean,
2009,143344520,Economic Commission for Latin America and the Caribbean,
2010,149684846,Economic Commission for Latin America and the Caribbean,
2011,135869068,Economic Commission for Latin America and the Caribbean,
2012,123658039,Economic Commission for Latin America and the Caribbean,
