year,value,source,note
1990,51695834,Economic Commission for Latin America and the Caribbean,
1991,54096400,Economic Commission for Latin America and the Caribbean,
1992,62229351,Economic Commission for Latin America and the Caribbean,
1993,65251698,Economic Commission for Latin America and the Caribbean,
1994,67537833,Economic Commission for Latin America and the Caribbean,
1995,67421589,Economic Commission for Latin America and the Caribbean,
1996,72342590,Economic Commission for Latin America and the Caribbean,
1997,77224843,Economic Commission for Latin America and the Caribbean,
1998,78929756,Economic Commission for Latin America and the Caribbean,
1999,86253136,Economic Commission for Latin America and the Caribbean,
2000,94467720,Economic Commission for Latin America and the Caribbean,
2001,94118988,Economic Commission for Latin America and the Caribbean,
2002,94622713,Economic Commission for Latin America and the Caribbean,
2003,131317106,Economic Commission for Latin America and the Caribbean,
2004,143755227,Economic Commission for Latin America and the Caribbean,
2005,148250000,Economic Commission for Latin America and the Caribbean,
2006,138640486,Economic Commission for Latin America and the Caribbean,
2007,110005684,Economic Commission for Latin America and the Caribbean,
2008,120893883,Economic Commission for Latin America and the Caribbean,
2009,123877483,Economic Commission for Latin America and the Caribbean,
2010,132385238,Economic Commission for Latin America and the Caribbean,
2011,126635764,Economic Commission for Latin America and the Caribbean,
2012,135279034,Economic Commission for Latin America and the Caribbean,
