year,value,source,notes
1990,633605203,Economic Commission for Latin America and the Caribbean,
1991,639784627,Economic Commission for Latin America and the Caribbean,
1992,712560899,Economic Commission for Latin America and the Caribbean,
1993,780811977,Economic Commission for Latin America and the Caribbean,
1994,831730228,Economic Commission for Latin America and the Caribbean,
1995,857555608,Economic Commission for Latin America and the Caribbean,
1996,891901481,Economic Commission for Latin America and the Caribbean,
1997,772887065,Economic Commission for Latin America and the Caribbean,
1998,754251467,Economic Commission for Latin America and the Caribbean,
1999,770115306,Economic Commission for Latin America and the Caribbean,
2000,673789428,Economic Commission for Latin America and the Caribbean,
2001,718812882,Economic Commission for Latin America and the Caribbean,
2002,669888598,Economic Commission for Latin America and the Caribbean,
2003,720591810,Economic Commission for Latin America and the Caribbean,
2004,632342250,Economic Commission for Latin America and the Caribbean,
2005,583134100,Economic Commission for Latin America and the Caribbean,
2006,699621633,Economic Commission for Latin America and the Caribbean,
2007,642909873,Economic Commission for Latin America and the Caribbean,
2008,603255080,Economic Commission for Latin America and the Caribbean,
2009,691277682,Economic Commission for Latin America and the Caribbean,
2010,689457823,Economic Commission for Latin America and the Caribbean,
2011,760430019,Economic Commission for Latin America and the Caribbean,
2012,779673354,Economic Commission for Latin America and the Caribbean,
