year,value,source,note
1990,5013591,Economic Commission for Latin America and the Caribbean,
1991,5718425,Economic Commission for Latin America and the Caribbean,
1992,5724892,Economic Commission for Latin America and the Caribbean,
1993,6043899,Economic Commission for Latin America and the Caribbean,
1994,5836975,Economic Commission for Latin America and the Caribbean,
1995,5514044,Economic Commission for Latin America and the Caribbean,
1996,6064457,Economic Commission for Latin America and the Caribbean,
1997,7319929,Economic Commission for Latin America and the Caribbean,
1998,6466369,Economic Commission for Latin America and the Caribbean,
1999,5880085,Economic Commission for Latin America and the Caribbean,
2000,5380019,Economic Commission for Latin America and the Caribbean,
2001,6328531,Economic Commission for Latin America and the Caribbean,
2002,7566645,Economic Commission for Latin America and the Caribbean,
2003,7649676,Economic Commission for Latin America and the Caribbean,
2004,8851475,Economic Commission for Latin America and the Caribbean,
2005,9091301,Economic Commission for Latin America and the Caribbean,
2006,5909793,Economic Commission for Latin America and the Caribbean,
2007,6100022,Economic Commission for Latin America and the Caribbean,
2008,6446097,Economic Commission for Latin America and the Caribbean,
2009,5762395,Economic Commission for Latin America and the Caribbean,
2010,5901926,Economic Commission for Latin America and the Caribbean,
2011,6574509,Economic Commission for Latin America and the Caribbean,
2012,5956885,Economic Commission for Latin America and the Caribbean,
