year,value,source,note
1990,77534484,Economic Commission for Latin America and the Caribbean,
1991,63445412,Economic Commission for Latin America and the Caribbean,
1992,79356924,Economic Commission for Latin America and the Caribbean,
1993,78682565,Economic Commission for Latin America and the Caribbean,
1994,63411972,Economic Commission for Latin America and the Caribbean,
1995,66544116,Economic Commission for Latin America and the Caribbean,
1996,67067998,Economic Commission for Latin America and the Caribbean,
1997,54829230,Economic Commission for Latin America and the Caribbean,
1998,54171592,Economic Commission for Latin America and the Caribbean,
1999,46084865,Economic Commission for Latin America and the Caribbean,
2000,47578485,Economic Commission for Latin America and the Caribbean,
2001,36732818,Economic Commission for Latin America and the Caribbean,
2002,40060243,Economic Commission for Latin America and the Caribbean,
2003,35688298,Economic Commission for Latin America and the Caribbean,
2004,36573175,Economic Commission for Latin America and the Caribbean,
2005,28241298,Economic Commission for Latin America and the Caribbean,
2006,30787397,Economic Commission for Latin America and the Caribbean,
2007,30719637,Economic Commission for Latin America and the Caribbean,
2008,39331448,Economic Commission for Latin America and the Caribbean,
2009,37896165,Economic Commission for Latin America and the Caribbean,
2010,29795364,Economic Commission for Latin America and the Caribbean,
2011,25874185,Economic Commission for Latin America and the Caribbean,
2012,28036080,Economic Commission for Latin America and the Caribbean,
