year,value,source,notes
1990,229941765,Economic Commission for Latin America and the Caribbean,
1991,257867383,Economic Commission for Latin America and the Caribbean,
1992,264349037,Economic Commission for Latin America and the Caribbean,
1993,245298640,Economic Commission for Latin America and the Caribbean,
1994,234438066,Economic Commission for Latin America and the Caribbean,
1995,218374087,Economic Commission for Latin America and the Caribbean,
1996,221839602,Economic Commission for Latin America and the Caribbean,
1997,215689650,Economic Commission for Latin America and the Caribbean,
1998,201945657,Economic Commission for Latin America and the Caribbean,
1999,210830027,Economic Commission for Latin America and the Caribbean,
2000,223274855,Economic Commission for Latin America and the Caribbean,
2001,248896559,Economic Commission for Latin America and the Caribbean,
2002,239379926,Economic Commission for Latin America and the Caribbean,
2003,247899196,Economic Commission for Latin America and the Caribbean,
2004,250360657,Economic Commission for Latin America and the Caribbean,
2005,237915829,Economic Commission for Latin America and the Caribbean,
2006,250360657,Economic Commission for Latin America and the Caribbean,
2007,263953470,Economic Commission for Latin America and the Caribbean,
2008,240561187,Economic Commission for Latin America and the Caribbean,
2009,313899157,Economic Commission for Latin America and the Caribbean,
2010,316111940,Economic Commission for Latin America and the Caribbean,
2011,329704754,Economic Commission for Latin America and the Caribbean,
2012,347060645,Economic Commission for Latin America and the Caribbean,
