year,value,source,notes
1990,125527098,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,155894115,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,134653948,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,148629940,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,150176653,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,146542224,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,159230606,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,159432957,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,144628159,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,137360626,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,149221644,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,151664492,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,172212352,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,187978876,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,175152921,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,157768000,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,144861767,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,134237826,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,138193105,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,143344520,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,149684846,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,135869068,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,123658039,CEPALStat: 733,"CEPALStat: 6432,6495"
