year,value,source,notes
1990,51695834,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,54096400,CEPALStat: 733,"CEPALStat: 6495,6432"
1992,62229351,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,65251698,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,67537833,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,67421589,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,72342590,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,77224843,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,78929756,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,86253136,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,94467720,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,94118988,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,94622713,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,131317106,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,143755227,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,148250000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,138640486,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,110005684,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,120893883,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,123877483,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,132385238,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,126635764,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,135279034,CEPALStat: 733,"CEPALStat: 6432,6495"
