year,value,source,notes
1990,76254011,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,73645009,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,66529549,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,63446183,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,63327592,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,63090410,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,74237964,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,73763600,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,63920547,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,69968688,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,72577690,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,65699412,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,62971819,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,60481409,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,56093542,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,60600000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,57160861,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,58465362,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,58465362,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,60125636,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,56449315,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,52891585,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,51112720,CEPALStat: 733,"CEPALStat: 6432,6495"
