year,value,source,notes
1990,3183722871,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,2419832409,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,2170036240,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1676607233,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1594127366,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1659567436,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1949425255,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1994949051,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1713379994,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1912546603,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,2086981534,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2105585008,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,2052577265,CEPALStat: 733,"CEPALStat: 6495,6432"
2003,2101764996,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2106092020,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1860900000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1748398299,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2063781907,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,2076913771,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2072427051,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1949096958,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2035220102,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2012677068,CEPALStat: 733,"CEPALStat: 6432,6495"
