year,value,source,notes
1990,42304516,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,41313159,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,40196230,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,38537359,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,36164710,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,38643103,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,35629377,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,35312143,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,34889164,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,38385350,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,37559219,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,36577319,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,37701231,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,39913441,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,36662197,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,20616817,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,26909425,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,27352789,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,29994998,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,33631780,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,31431649,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,30939280,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,32347203,CEPALStat: 733,"CEPALStat: 6432,6495"
