year,value,source,notes
1990,633605203,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,639784627,CEPALStat: 733,"CEPALStat: 6495,6432"
1992,712560899,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,780811977,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,831730228,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,857555608,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,891901481,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,772887065,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,754251467,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,770115306,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,673789428,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,718812882,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,669888598,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,720591810,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,632342250,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,583134100,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,699621633,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,642909873,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,603255080,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,691277682,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,689457823,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,760430019,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,779673354,CEPALStat: 733,"CEPALStat: 6495,6432"
