year,value,source,notes
1990,5013591,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,5718425,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,5724892,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,6043899,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,5836975,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,5514044,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,6064457,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,7319929,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,6466369,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,5880085,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,5380019,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,6328531,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,7566645,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,7649676,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,8851475,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,9091301,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,5909793,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,6100022,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,6446097,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,5762395,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,5901926,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,6574509,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,5956885,CEPALStat: 733,"CEPALStat: 6432,6495"
