year,value,source,notes
1990,77534484,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,63445412,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,79356924,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,78682565,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,63411972,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,66544116,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,67067998,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,54829230,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,54171592,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,46084865,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,47578485,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,36732818,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,40060243,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,35688298,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,36573175,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,28241298,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,30787397,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,30719637,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,39331448,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,37896165,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,29795364,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,25874185,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,28036080,CEPALStat: 733,"CEPALStat: 6432,6495"
