year,value,source,notes
1990,229941765,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,257867383,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,264349037,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,245298640,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,234438066,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,218374087,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,221839602,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,215689650,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,201945657,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,210830027,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,223274855,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,248896559,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,239379926,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,247899196,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,250360657,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,237915829,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,250360657,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,263953470,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,240561187,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,313899157,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,316111940,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,329704754,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,347060645,CEPALStat: 733,"CEPALStat: 6432,6495"
