year,value,source,note
1990,29347407,Economic Commission for Latin America and the Caribbean,
1991,31610158,Economic Commission for Latin America and the Caribbean,
1992,35434722,Economic Commission for Latin America and the Caribbean,
1993,40521319,Economic Commission for Latin America and the Caribbean,
1994,32291319,Economic Commission for Latin America and the Caribbean,
1995,32291319,Economic Commission for Latin America and the Caribbean,
1996,31605486,Economic Commission for Latin America and the Caribbean,
1997,29890902,Economic Commission for Latin America and the Caribbean,
1998,29205069,Economic Commission for Latin America and the Caribbean,
1999,34063055,Economic Commission for Latin America and the Caribbean,
2000,47322500,Economic Commission for Latin America and the Caribbean,
2001,47951180,Economic Commission for Latin America and the Caribbean,
2002,49722916,Economic Commission for Latin America and the Caribbean,
2003,40864236,Economic Commission for Latin America and the Caribbean,
2004,42693125,Economic Commission for Latin America and the Caribbean,
2005,41150000,Economic Commission for Latin America and the Caribbean,
2006,40349861,Economic Commission for Latin America and the Caribbean,
2007,39092500,Economic Commission for Latin America and the Caribbean,
2008,45150694,Economic Commission for Latin America and the Caribbean,
2009,40635625,Economic Commission for Latin America and the Caribbean,
2010,30580134,Economic Commission for Latin America and the Caribbean,
2011,29782387,Economic Commission for Latin America and the Caribbean,
2012,34276208,Economic Commission for Latin America and the Caribbean,
