year,value,source,note
1990,128128600,Economic Commission for Latin America and the Caribbean,
1991,118534944,Economic Commission for Latin America and the Caribbean,
1992,85063746,Economic Commission for Latin America and the Caribbean,
1993,86769284,Economic Commission for Latin America and the Caribbean,
1994,92099093,Economic Commission for Latin America and the Caribbean,
1995,101053172,Economic Commission for Latin America and the Caribbean,
1996,105103826,Economic Commission for Latin America and the Caribbean,
1997,120027291,Economic Commission for Latin America and the Caribbean,
1998,140280563,Economic Commission for Latin America and the Caribbean,
1999,154351258,Economic Commission for Latin America and the Caribbean,
2000,156056797,Economic Commission for Latin America and the Caribbean,
2001,166716414,Economic Commission for Latin America and the Caribbean,
2002,179507955,Economic Commission for Latin America and the Caribbean,
2003,180573917,Economic Commission for Latin America and the Caribbean,
2004,185690533,Economic Commission for Latin America and the Caribbean,
2005,211700000,Economic Commission for Latin America and the Caribbean,
2006,210847230,Economic Commission for Latin America and the Caribbean,
2007,210847230,Economic Commission for Latin America and the Caribbean,
2008,199974420,Economic Commission for Latin America and the Caribbean,
2009,163518529,Economic Commission for Latin America and the Caribbean,
2010,147955488,Economic Commission for Latin America and the Caribbean,
2011,163518529,Economic Commission for Latin America and the Caribbean,
2012,151366565,Economic Commission for Latin America and the Caribbean,
