year,value,source,notes
1990,1112165526,Economic Commission for Latin America and the Caribbean,
1991,973660363,Economic Commission for Latin America and the Caribbean,
1992,1128058176,Economic Commission for Latin America and the Caribbean,
1993,1345793120,Economic Commission for Latin America and the Caribbean,
1994,1466228752,Economic Commission for Latin America and the Caribbean,
1995,1532701881,Economic Commission for Latin America and the Caribbean,
1996,1673454771,Economic Commission for Latin America and the Caribbean,
1997,1732238035,Economic Commission for Latin America and the Caribbean,
1998,2021900742,Economic Commission for Latin America and the Caribbean,
1999,2282238540,Economic Commission for Latin America and the Caribbean,
2000,2189926797,Economic Commission for Latin America and the Caribbean,
2001,2103987133,Economic Commission for Latin America and the Caribbean,
2002,2201152999,Economic Commission for Latin America and the Caribbean,
2003,1825333777,Economic Commission for Latin America and the Caribbean,
2004,1783381476,Economic Commission for Latin America and the Caribbean,
2005,1947654343,Economic Commission for Latin America and the Caribbean,
2006,2426544447,Economic Commission for Latin America and the Caribbean,
2007,2505044459,Economic Commission for Latin America and the Caribbean,
2008,2494035107,Economic Commission for Latin America and the Caribbean,
2009,2395718263,Economic Commission for Latin America and the Caribbean,
2010,2658074443,Economic Commission for Latin America and the Caribbean,
2011,2694288537,Economic Commission for Latin America and the Caribbean,
2012,2712137031,Economic Commission for Latin America and the Caribbean,
