year,value,source,notes
1990,27997908,Economic Commission for Latin America and the Caribbean,
1991,29982713,Economic Commission for Latin America and the Caribbean,
1992,28151831,Economic Commission for Latin America and the Caribbean,
1993,29418664,Economic Commission for Latin America and the Caribbean,
1994,29742269,Economic Commission for Latin America and the Caribbean,
1995,30483168,Economic Commission for Latin America and the Caribbean,
1996,32137645,Economic Commission for Latin America and the Caribbean,
1997,35191815,Economic Commission for Latin America and the Caribbean,
1998,42199393,Economic Commission for Latin America and the Caribbean,
1999,45674828,Economic Commission for Latin America and the Caribbean,
2000,53030760,Economic Commission for Latin America and the Caribbean,
2001,44121784,Economic Commission for Latin America and the Caribbean,
2002,45001834,Economic Commission for Latin America and the Caribbean,
2003,56009672,Economic Commission for Latin America and the Caribbean,
2004,60654969,Economic Commission for Latin America and the Caribbean,
2005,115752698,Economic Commission for Latin America and the Caribbean,
2006,78309289,Economic Commission for Latin America and the Caribbean,
2007,74092853,Economic Commission for Latin America and the Caribbean,
2008,68876461,Economic Commission for Latin America and the Caribbean,
2009,47128926,Economic Commission for Latin America and the Caribbean,
2010,46679683,Economic Commission for Latin America and the Caribbean,
2011,41160319,Economic Commission for Latin America and the Caribbean,
2012,33732707,Economic Commission for Latin America and the Caribbean,
