year,value,source,note
1990,81863703,Economic Commission for Latin America and the Caribbean,
1991,83968849,Economic Commission for Latin America and the Caribbean,
1992,99903831,Economic Commission for Latin America and the Caribbean,
1993,90284288,Economic Commission for Latin America and the Caribbean,
1994,93755688,Economic Commission for Latin America and the Caribbean,
1995,88207024,Economic Commission for Latin America and the Caribbean,
1996,94257577,Economic Commission for Latin America and the Caribbean,
1997,74837254,Economic Commission for Latin America and the Caribbean,
1998,87259011,Economic Commission for Latin America and the Caribbean,
1999,74377189,Economic Commission for Latin America and the Caribbean,
2000,65616268,Economic Commission for Latin America and the Caribbean,
2001,68579583,Economic Commission for Latin America and the Caribbean,
2002,69002914,Economic Commission for Latin America and the Caribbean,
2003,80729176,Economic Commission for Latin America and the Caribbean,
2004,88899460,Economic Commission for Latin America and the Caribbean,
2005,96519414,Economic Commission for Latin America and the Caribbean,
2006,101599383,Economic Commission for Latin America and the Caribbean,
2007,104850563,Economic Commission for Latin America and the Caribbean,
2008,113520377,Economic Commission for Latin America and the Caribbean,
2009,121106464,Economic Commission for Latin America and the Caribbean,
2010,126525098,Economic Commission for Latin America and the Caribbean,
2011,132214664,Economic Commission for Latin America and the Caribbean,
2012,150442764,Economic Commission for Latin America and the Caribbean,
