year,value,source,notes
1990,50541461,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,54775353,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,52263043,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,49650642,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,51637468,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,54745325,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,61321370,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,66225879,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,72846966,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,78674723,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,83787022,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,59267578,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,63277825,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,69506674,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,73879343,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,94357281,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,137842288,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,147979399,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,148870799,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,135136211,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,87953082,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,66522935,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,73171334,CEPALStat: 733,"CEPALStat: 6432,6495"
