year,value,source,notes
1990,341127957,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,323751260,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,342175760,CEPALStat: 733,"CEPALStat: 6495,6432"
1993,275475803,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,327724060,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,289611715,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,310355746,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,409639170,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,504042107,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,431368531,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,474637400,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,374194397,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,434166416,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,479641103,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,398385975,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,529959000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,638319069,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,416598163,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,536110628,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,481527890,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,615086542,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,592838510,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,736972170,CEPALStat: 733,"CEPALStat: 6495,6432"
