year,value,source,notes
1990,29347407,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,31610158,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,35434722,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,40521319,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,32291319,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,32291319,CEPALStat: 733,"CEPALStat: 6495,6432"
1996,31605486,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,29890902,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,29205069,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,34063055,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,47322500,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,47951180,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,49722916,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,40864236,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,42693125,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,41150000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,40349861,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,39092500,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,45150694,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,40635625,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,30580134,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,29782387,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,34276208,CEPALStat: 733,"CEPALStat: 6432,6495"
