year,value,source,notes
1990,1112165526,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,973660363,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1128058176,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1345793120,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1466228752,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1532701881,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1673454771,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1732238035,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,2021900742,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,2282238540,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,2189926797,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2103987133,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,2201152999,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1825333777,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1783381476,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1947654343,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2426544447,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2505044459,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,2494035107,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2395718263,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2658074443,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2694288537,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2712137031,CEPALStat: 733,"CEPALStat: 6432,6495"
