year,value,source,notes
1990,27997908,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,29982713,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,28151831,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,29418664,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,29742269,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,30483168,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,32137645,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,35191815,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,42199393,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,45674828,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,53030760,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,44121784,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,45001834,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,56009672,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,60654969,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,115752698,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,78309289,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,74092853,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,68876461,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,47128926,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,46679683,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,41160319,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,33732707,CEPALStat: 733,"CEPALStat: 6432,6495"
