year,value,source,notes
1990,51392225,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,52436783,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,53481340,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,55361543,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,66433852,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,72910108,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,83146771,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,94010169,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,98397310,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,88578470,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,94427992,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,96308195,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,92547788,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,97770575,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,101739894,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,111349822,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,124720157,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,133871551,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,136877204,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,137554195,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,152217552,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,156423545,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,139157850,CEPALStat: 733,"CEPALStat: 6432,6495"
