year,value,source,notes
1990,20856042,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,22089252,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,23657895,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,25093351,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,25818478,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,26671859,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,24535940,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,28447681,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,32379154,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,31062086,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,26874106,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,27798319,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,30326080,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,36586315,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,40229158,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,40085472,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,43523469,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,49197776,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,44120957,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,40456773,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,39195276,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,37873641,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,36537557,CEPALStat: 733,"CEPALStat: 6432,6495"
