year,value,source,notes
1990,415685500,Economic Commission for Latin America and the Caribbean,
1991,386955999,Economic Commission for Latin America and the Caribbean,
1992,339591900,Economic Commission for Latin America and the Caribbean,
1993,343876100,Economic Commission for Latin America and the Caribbean,
1994,368662100,Economic Commission for Latin America and the Caribbean,
1995,373301700,Economic Commission for Latin America and the Caribbean,
1996,406904200,Economic Commission for Latin America and the Caribbean,
1997,434043100,Economic Commission for Latin America and the Caribbean,
1998,472044800,Economic Commission for Latin America and the Caribbean,
1999,477547900,Economic Commission for Latin America and the Caribbean,
2000,501526500,Economic Commission for Latin America and the Caribbean,
2001,485262300,Economic Commission for Latin America and the Caribbean,
2002,486503900,Economic Commission for Latin America and the Caribbean,
2003,524421900,Economic Commission for Latin America and the Caribbean,
2004,504984900,Economic Commission for Latin America and the Caribbean,
2005,524250000,Economic Commission for Latin America and the Caribbean,
2006,558130600,Economic Commission for Latin America and the Caribbean,
2007,547948100,Economic Commission for Latin America and the Caribbean,
2008,532386100,Economic Commission for Latin America and the Caribbean,
2009,466883100,Economic Commission for Latin America and the Caribbean,
2010,443878300,Economic Commission for Latin America and the Caribbean,
2011,443687100,Economic Commission for Latin America and the Caribbean,
2012,413552300,Economic Commission for Latin America and the Caribbean,
