year,value,source,note
1990,-696351800,Economic Commission for Latin America and the Caribbean,
1991,-499317700,Economic Commission for Latin America and the Caribbean,
1992,-318610400,Economic Commission for Latin America and the Caribbean,
1993,-51572800,Economic Commission for Latin America and the Caribbean,
1994,172067800,Economic Commission for Latin America and the Caribbean,
1995,323699900,Economic Commission for Latin America and the Caribbean,
1996,280296500,Economic Commission for Latin America and the Caribbean,
1997,286846600,Economic Commission for Latin America and the Caribbean,
1998,269607200,Economic Commission for Latin America and the Caribbean,
1999,325543000,Economic Commission for Latin America and the Caribbean,
2000,352501600,Economic Commission for Latin America and the Caribbean,
2001,325654200,Economic Commission for Latin America and the Caribbean,
2002,340744400,Economic Commission for Latin America and the Caribbean,
2003,303009700,Economic Commission for Latin America and the Caribbean,
2004,242827400,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,20832200,Economic Commission for Latin America and the Caribbean,
2007,-102419500,Economic Commission for Latin America and the Caribbean,
2008,-164126900,Economic Commission for Latin America and the Caribbean,
2009,-264811400,Economic Commission for Latin America and the Caribbean,
2010,-350723800,Economic Commission for Latin America and the Caribbean,
2011,-310390100,Economic Commission for Latin America and the Caribbean,
2012,-255862900,Economic Commission for Latin America and the Caribbean,
