year,value,source,note
1990,4271228300,Economic Commission for Latin America and the Caribbean,
1991,4351620500,Economic Commission for Latin America and the Caribbean,
1992,4120506099,Economic Commission for Latin America and the Caribbean,
1993,3896723900,Economic Commission for Latin America and the Caribbean,
1994,3431311800,Economic Commission for Latin America and the Caribbean,
1995,3770727500,Economic Commission for Latin America and the Caribbean,
1996,3926942700,Economic Commission for Latin America and the Caribbean,
1997,4033162700,Economic Commission for Latin America and the Caribbean,
1998,4121136200,Economic Commission for Latin America and the Caribbean,
1999,4232846499,Economic Commission for Latin America and the Caribbean,
2000,4269686899,Economic Commission for Latin America and the Caribbean,
2001,4225075900,Economic Commission for Latin America and the Caribbean,
2002,4214406900,Economic Commission for Latin America and the Caribbean,
2003,4229681200,Economic Commission for Latin America and the Caribbean,
2004,4080838100,Economic Commission for Latin America and the Caribbean,
2005,4154284700,Economic Commission for Latin America and the Caribbean,
2006,4247880400,Economic Commission for Latin America and the Caribbean,
2007,4389898900,Economic Commission for Latin America and the Caribbean,
2008,4426947200,Economic Commission for Latin America and the Caribbean,
2009,4554341400,Economic Commission for Latin America and the Caribbean,
2010,4307677700,Economic Commission for Latin America and the Caribbean,
2011,4548491600,Economic Commission for Latin America and the Caribbean,
2012,4676860800,Economic Commission for Latin America and the Caribbean,
