year,value,source,note
1990,1573053200,Economic Commission for Latin America and the Caribbean,
1991,1552809700,Economic Commission for Latin America and the Caribbean,
1992,1439333700,Economic Commission for Latin America and the Caribbean,
1993,1444253300,Economic Commission for Latin America and the Caribbean,
1994,1224595800,Economic Commission for Latin America and the Caribbean,
1995,1240778200,Economic Commission for Latin America and the Caribbean,
1996,1201635300,Economic Commission for Latin America and the Caribbean,
1997,1281131800,Economic Commission for Latin America and the Caribbean,
1998,1266938800,Economic Commission for Latin America and the Caribbean,
1999,1261026400,Economic Commission for Latin America and the Caribbean,
2000,1294295000,Economic Commission for Latin America and the Caribbean,
2001,1304896900,Economic Commission for Latin America and the Caribbean,
2002,1329460400,Economic Commission for Latin America and the Caribbean,
2003,1371700700,Economic Commission for Latin America and the Caribbean,
2004,1404809600,Economic Commission for Latin America and the Caribbean,
2005,1422289700,Economic Commission for Latin America and the Caribbean,
2006,1441918999,Economic Commission for Latin America and the Caribbean,
2007,1472491100,Economic Commission for Latin America and the Caribbean,
2008,1464983100,Economic Commission for Latin America and the Caribbean,
2009,1383183600,Economic Commission for Latin America and the Caribbean,
2010,1364098700,Economic Commission for Latin America and the Caribbean,
2011,1376748700,Economic Commission for Latin America and the Caribbean,
2012,1366915900,Economic Commission for Latin America and the Caribbean,
