year,value,source,note
1990,7330300,Economic Commission for Latin America and the Caribbean,
1991,8333299,Economic Commission for Latin America and the Caribbean,
1992,5569600,Economic Commission for Latin America and the Caribbean,
1993,3601900,Economic Commission for Latin America and the Caribbean,
1994,1601000,Economic Commission for Latin America and the Caribbean,
1995,9947500,Economic Commission for Latin America and the Caribbean,
1996,10618800,Economic Commission for Latin America and the Caribbean,
1997,11477500,Economic Commission for Latin America and the Caribbean,
1998,10682000,Economic Commission for Latin America and the Caribbean,
1999,8640700,Economic Commission for Latin America and the Caribbean,
2000,-1929000,Economic Commission for Latin America and the Caribbean,
2001,-672900,Economic Commission for Latin America and the Caribbean,
2002,-1833400,Economic Commission for Latin America and the Caribbean,
2003,-1176200,Economic Commission for Latin America and the Caribbean,
2004,-366100,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,-1831000,Economic Commission for Latin America and the Caribbean,
2007,-1821800,Economic Commission for Latin America and the Caribbean,
2008,-1023099,Economic Commission for Latin America and the Caribbean,
2009,-1656600,Economic Commission for Latin America and the Caribbean,
2010,-1110800,Economic Commission for Latin America and the Caribbean,
2011,-1210500,Economic Commission for Latin America and the Caribbean,
2012,-977000,Economic Commission for Latin America and the Caribbean,
