key,value
name,Saint Kitts and Nevis - Statistical discrepancy of GDP by economic activity [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Statistical discrepancy of GDP by economic activity [2216]
description,El producto interno bruto (PIB) es el valor del flujo de bienes y servicios producidos en un país durante un período de referencia determinado. (Translation in progress ...)
category,Economic
type,GDP
file,gdp-sec--discrep_kna_cepalstat.csv
filehash,1e7f51e9fb377d6a69616bf2ab152bded09bbe86
columns,"year,value,source,notes"
