year,value,source,notes
1990,14090400,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,14333200,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,13164700,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,5676300,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,3434200,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,7857100,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,8105300,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-374600,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-1893700,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-1081600,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-981700,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,-1626200,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-536100,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-1137000,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1623900,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,3138600,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,3905000,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,4326700,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,4395300,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1576800,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,28999,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,697300,CEPALStat: 733,"CEPALStat: 6432,6495"
