year,value,source,notes
1990,81971900,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,272489400,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,411981300,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,238330200,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,183570300,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,357025600,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,230212900,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,15075500,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,10822800,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,10784100,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,7563900,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,11748300,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,16555900,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,14628100,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,7046500,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-3306700,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-494100,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,265400,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-512200,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,3907600,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-3720600,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-9014100,CEPALStat: 733,"CEPALStat: 6432,6495"
