year,value,source,notes
1990,-696351800,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,-499317700,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-318610400,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-51572800,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,172067800,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,323699900,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,280296500,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,286846600,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,269607200,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,325543000,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,352501600,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,325654200,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,340744400,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,303009700,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,242827400,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,20832200,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-102419500,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-164126900,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-264811400,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-350723800,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-310390100,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-255862900,CEPALStat: 733,"CEPALStat: 6495,6432"
