year,value,source,notes
1990,-1830300,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-4048400,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-2931300,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-2437600,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-605800,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1155300,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1803300,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,3059900,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1025300,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,893500,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-473300,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-423200,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-175600,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-17000,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,64199,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,149000,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,278500,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-222100,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-324200,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-166400,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-382300,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-455200,CEPALStat: 733,"CEPALStat: 6432,6495"
