year,value,source,notes
1990,31588500,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,31439100,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,45753600,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,38723800,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,49911500,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,60437600,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,64827900,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,101851400,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,96590900,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,116704000,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,102444100,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,67894200,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,114874400,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,119063500,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,126532600,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,110972800,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,128124599,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,140743100,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,140329100,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,146711500,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,147368300,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,155607500,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,160262400,CEPALStat: 733,"CEPALStat: 6432,6495"
