year,value,source,notes
1990,1573053200,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1552809700,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1439333700,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1444253300,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1224595800,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1240778200,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1201635300,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1281131800,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1266938800,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1261026400,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1294295000,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1304896900,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1329460400,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1371700700,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1404809600,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1422289700,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,1441918999,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,1472491100,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1464983100,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1383183600,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1364098700,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1376748700,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1366915900,CEPALStat: 733,"CEPALStat: 6495,6432"
