year,value,source,notes
1990,20063700,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,16921100,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,17317999,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,14303500,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,11041500,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,9534500,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,10517999,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,5778900,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,6655700,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1424300,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-973500,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,116100,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-283000,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,639800,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,46300,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,-7843700,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,-10310300,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-8047200,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,-6105600,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,-6579300,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,-6416700,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-12629400,CEPALStat: 733,"CEPALStat: 6495,6432"
