year,value,source,notes
1990,230685800,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,224350000,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,248025700,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,260814200,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,259777699,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,265901400,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,274205300,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,284888600,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,305567300,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,302870600,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,244219500,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,262918200,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,299718800,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,288827700,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,155871800,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,162818800,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,300520600,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,314299800,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,328245800,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,313872200,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,328173600,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,344834900,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,354072400,CEPALStat: 733,"CEPALStat: 6432,6495"
