year,value,source,notes
1990,59665100,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,86566600,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,112728200,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,141709400,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,82530700,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,118905200,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,149046300,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,241912000,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,274801000,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,194130700,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,199390300,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,223857300,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,202977400,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,43952200,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,55358700,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,64496600,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-116583300,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-8034300,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,72339400,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,22010100,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-7687400,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,58738300,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,192502400,CEPALStat: 733,"CEPALStat: 6432,6495"
