year,value,source,notes
1990,8865500,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,8002800,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,8403500,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,6579500,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-312800,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,3855100,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1770100,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-1737200,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1120400,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-394900,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1291999,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1136700,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,-998700,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-424500,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,120300,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,0,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,297000,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1463700,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,689300,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,291900,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,288500,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-103700,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-354800,CEPALStat: 733,"CEPALStat: 6432,6495"
