year,value,source,note
1990,100753705,Economic Commission for Latin America and the Caribbean,
1991,101141740,Economic Commission for Latin America and the Caribbean,
1992,110873379,Economic Commission for Latin America and the Caribbean,
1993,106970334,Economic Commission for Latin America and the Caribbean,
1994,110904785,Economic Commission for Latin America and the Caribbean,
1995,113298264,Economic Commission for Latin America and the Caribbean,
1996,113665896,Economic Commission for Latin America and the Caribbean,
1997,122230732,Economic Commission for Latin America and the Caribbean,
1998,127809446,Economic Commission for Latin America and the Caribbean,
1999,134710116,Economic Commission for Latin America and the Caribbean,
2000,131316344,Economic Commission for Latin America and the Caribbean,
2001,143899157,Economic Commission for Latin America and the Caribbean,
2002,147908117,Economic Commission for Latin America and the Caribbean,
2003,152269383,Economic Commission for Latin America and the Caribbean,
2004,160030886,Economic Commission for Latin America and the Caribbean,
2005,168497000,Economic Commission for Latin America and the Caribbean,
2006,164613016,Economic Commission for Latin America and the Caribbean,
2007,170680865,Economic Commission for Latin America and the Caribbean,
2008,186666069,Economic Commission for Latin America and the Caribbean,
2009,181866306,Economic Commission for Latin America and the Caribbean,
2010,172091165,Economic Commission for Latin America and the Caribbean,
2011,184699836,Economic Commission for Latin America and the Caribbean,
2012,167643708,Economic Commission for Latin America and the Caribbean,
